TheTime,CH6,CH7,output,CH0,CH1,CH2
42539.00011574,0.1337407,0.1283426,,-0.001202979,0.01318288,0.1907208
42539.00023150,0.1301420,0.1265433,,-0.001202979,0.01258309,0.1913206
42539.00034724,0.1259435,0.1259435,,-0.001202979,0.01378267,0.1937198
42539.00046298,0.1271430,0.1259435,,-0.001202979,0.01618183,0.1961189
42539.00057884,0.1283426,0.1283426,,-0.001202979,0.01438246,0.1937198
42539.00069446,0.1307418,0.1277428,,-0.001202979,0.01018393,0.1913206
42539.00081020,0.1325412,0.1283426,,-0.001202979,0.01318288,0.1937198
42539.00092593,0.1331410,0.1283426,,-3.916211e-07,0.01618183,0.1961189
42539.00104179,0.1319414,0.1283426,,-3.916211e-07,0.01678162,0.1955191
42539.00115741,0.1337407,0.1283426,,-3.916211e-07,0.01378267,0.1943196
42539.00127315,0.1337407,0.1277428,,-0.001202979,0.01318288,0.1955191
42539.00138889,0.1325412,0.1283426,,-0.001202979,0.01318288,0.1961189
42539.00150475,0.1295422,0.1283426,,-0.001202979,0.01198330,0.1961189
42539.00162049,0.1301420,0.1271430,,-0.001202979,0.01438246,0.1967187
42539.00173623,0.1295422,0.1259435,,-0.001202979,0.01738141,0.1967187
42539.00185185,0.1319414,0.1283426,,-3.916211e-07,0.01798120,0.1979183
42539.00196770,0.1277428,0.1277428,,-0.001202979,0.01498225,0.1961189
42539.00208333,0.1259435,0.1277428,,-0.001202979,0.01138351,0.1925202
42539.00219918,0.1265433,0.1271430,,-0.001202979,0.01018393,0.1919204
42539.00231482,0.1265433,0.1283426,,-0.001202979,0.01078372,0.1919204
42539.00243056,0.1259435,0.1283426,,-0.001202979,0.01438246,0.1931200
42539.00254630,0.1271430,0.1283426,,-0.001202979,0.01438246,0.1949194
42539.00266213,0.1289424,0.1301420,,-0.001202979,0.01498225,0.1961189
42539.00277787,0.1289424,0.1295422,,-0.001202979,0.01558204,0.1967187
42539.00289352,0.1265433,0.1295422,,-0.001202979,0.01558204,0.1979183
42539.00300935,0.1271430,0.1295422,,-0.001202979,0.01738141,0.1991179
42539.00312500,0.1265433,0.1325412,,-3.916211e-07,0.01858099,0.1979183
42539.00324082,0.1271430,0.1325412,,-0.001202979,0.01498225,0.1967187
42539.00335648,0.1277428,0.1319414,,-0.001202979,0.01438246,0.1985181
42539.00347222,0.1259435,0.1319414,,-0.001202979,0.01438246,0.1985181
42539.00358804,0.1241441,0.1343405,,-3.916211e-07,0.01378267,0.1961189
42539.00370378,0.1247439,0.1337407,,-0.001202979,0.01378267,0.1943196
42539.00381952,0.1241441,0.1361399,,-0.001202979,0.01618183,0.1961189
42539.00393519,0.1241441,0.1379393,,-0.001202979,0.01438246,0.1955191
42539.00405099,0.1241441,0.1379393,,-0.001202979,0.01378267,0.1973185
42539.00416673,0.1223447,0.1403384,,-0.001202979,0.01438246,0.1973185
42539.00428241,0.1211451,0.1397386,,-0.001202979,0.01258309,0.1961189
42539.00439821,0.1193458,0.1433374,,-0.001202979,0.01198330,0.1949194
42539.00451395,0.1187460,0.1421378,,-0.001202979,0.01258309,0.1961189
42539.00462969,0.1181462,0.1421378,,-0.001202979,0.01078372,0.1967187
42539.00474537,0.1199456,0.1439372,,-0.001202979,0.01198330,0.1991179
42539.00486122,0.1229445,0.1439372,,-0.001202979,0.01918078,0.2021168
42539.00497696,0.1211451,0.1463363,,-0.001202979,0.02098015,0.1991179
42539.00509270,0.1163468,0.1463363,,-0.002405566,0.01378267,0.1967187
42539.00520844,0.1151472,0.1475359,,-0.001202979,0.01138351,0.1973185
42539.00532418,0.1169466,0.1481357,,-0.001202979,0.01258309,0.1967187
42539.00543986,0.1187460,0.1481357,,-0.001202979,0.01618183,0.1997177
42539.00555565,0.1205454,0.1499351,,-0.001202979,0.01918078,0.2027166
42539.00567133,0.1205454,0.1499351,,-0.001202979,0.02038036,0.2027166
42539.00578713,0.1199456,0.1499351,,-0.001202979,0.01738141,0.2009173
42539.00590281,0.1205454,0.1505349,,-0.001202979,0.01558204,0.2015171
42539.00601855,0.1211451,0.1505349,,-0.001202979,0.01798120,0.2021168
42539.00613435,0.1199456,0.1505349,,-0.001202979,0.01798120,0.1997177
42539.00625003,0.1169466,0.1523342,,-0.001202979,0.01318288,0.1973185
42539.00636582,0.1163468,0.1523342,,-0.001202979,0.01258309,0.2003175
42539.00648150,0.1181462,0.1523342,,-0.001202979,0.01678162,0.2033164
42539.00659730,0.1175464,0.1523342,,-0.001202979,0.01858099,0.2045160
42539.00671298,0.1175464,0.1523342,,-0.001202979,0.01918078,0.2039162
42539.00682878,0.1187460,0.1517345,,-0.001202979,0.01558204,0.2033164
42539.00694451,0.1193458,0.1523342,,-3.916211e-07,0.01678162,0.2015171
42539.00706019,0.1187460,0.1529340,,-3.916211e-07,0.01978057,0.2027166
42539.00717593,0.1187460,0.1523342,,-0.001202979,0.02277952,0.2045160
42539.00729167,0.1193458,0.1499351,,-0.001202979,0.02157994,0.2033164
42539.00740747,0.1181462,0.1499351,,-0.001202979,0.02038036,0.2015171
42539.00752321,0.1169466,0.1487355,,-0.001202979,0.01858099,0.2015171
42539.00763895,0.1199456,0.1487355,,-0.001202979,0.01678162,0.2003175
42539.00775468,0.1199456,0.1475359,,-3.916211e-07,0.01618183,0.2021168
42539.00787037,0.1205454,0.1499351,,-3.916211e-07,0.01978057,0.2033164
42539.00798611,0.1199456,0.1499351,,-0.001202979,0.02038036,0.2015171
42539.00810185,0.1199456,0.1499351,,-3.916211e-07,0.01798120,0.1997177
42539.00821764,0.1187460,0.1499351,,-0.001202979,0.01858099,0.2015171
42539.00833338,0.1199456,0.1499351,,-0.001202979,0.02157994,0.2039162
42539.00844911,0.1169466,0.1481357,,-0.001202979,0.02277952,0.2051158
42539.00856485,0.1157470,0.1481357,,-0.001202979,0.02098015,0.2033164
42539.00868056,0.1169466,0.1463363,,-0.001202979,0.02038036,0.2033164
42539.00879633,0.1187460,0.1469361,,-0.001202979,0.01918078,0.2027166
42539.00891204,0.1169466,0.1445370,,-0.001202979,0.01978057,0.2033164
42539.00902781,0.1163468,0.1445370,,-0.001202979,0.02098015,0.2057156
42539.00914352,0.1157470,0.1445370,,-0.001202979,0.02157994,0.2051158
42539.00925928,0.1151472,0.1451368,,-0.001202979,0.02038036,0.2045160
42539.00937502,0.1133479,0.1415380,,-0.001202979,0.01798120,0.2027166
42539.00949074,0.1133479,0.1421378,,-0.001202979,0.01558204,0.2009173
42539.00960650,0.1121483,0.1427376,,-3.916211e-07,0.01798120,0.2021168
42539.00972224,0.1127481,0.1427376,,-0.001202979,0.01738141,0.2033164
42539.00983798,0.1127481,0.1421378,,-0.001202979,0.01498225,0.2021168
42539.00995371,0.1127481,0.1433374,,-0.001202979,0.01618183,0.2009173
42539.01006945,0.1121483,0.1427376,,-0.001202979,0.01738141,0.1997177
42539.01018506,0.1115485,0.1421378,,-0.001202979,0.01438246,0.1985181
42539.01030093,0.1121483,0.1427376,,-0.001202979,0.01438246,0.1997177
42539.01041667,0.1121483,0.1427376,,-3.916211e-07,0.01378267,0.2009173
42539.01053229,0.1115485,0.1409382,,-0.001202979,0.01378267,0.2021168
42539.01064815,0.1115485,0.1379393,,-0.001202979,0.01738141,0.2021168
42539.01076389,0.1085495,0.1385391,,-0.001202979,0.01738141,0.2027166
42539.01087963,0.1079498,0.1379393,,-0.001202979,0.01738141,0.2015171
42539.01099537,0.1067502,0.1373395,,-0.001202979,0.01918078,0.2027166
42539.01111111,0.1097491,0.1385391,,-0.001202979,0.01918078,0.2027166
42539.01122685,0.1127481,0.1385391,,-0.001202979,0.01618183,0.2021168
42539.01134259,0.1127481,0.1367397,,-0.001202979,0.01798120,0.2015171
42539.01145833,0.1121483,0.1379393,,-0.001202979,0.02098015,0.2021168
42539.01157408,0.1115485,0.1367397,,-0.001202979,0.02277952,0.2045160
42539.01168982,0.1121483,0.1379393,,-0.001202979,0.02337931,0.2027166
42539.01180556,0.1097491,0.1361399,,-3.916211e-07,0.02277952,0.2021168
42539.01192130,0.1103489,0.1361399,,-0.001202979,0.02277952,0.2009173
42539.01203704,0.1109487,0.1361399,,-0.001202979,0.02098015,0.2009173
42539.01215278,0.1097491,0.1355401,,-3.916211e-07,0.02277952,0.2027166
42539.01226852,0.1127481,0.1361399,,-0.001202979,0.02577848,0.2057156
42539.01238426,0.1139477,0.1343405,,-0.001202979,0.02217973,0.2027166
42539.01250000,0.1145475,0.1349403,,-0.001202979,0.01978057,0.1997177
42539.01261574,0.1163468,0.1343405,,-0.001202979,0.02038036,0.1997177
42539.01273156,0.1169466,0.1319414,,-0.001202979,0.02157994,0.2009173
42539.01284722,0.1139477,0.1319414,,-0.001202979,0.02098015,0.2009173
42539.01296296,0.1121483,0.1301420,,-0.001202979,0.01918078,0.2003175
42539.01307870,0.1115485,0.1325412,,-0.002405566,0.01858099,0.2009173
42539.01319445,0.1085495,0.1295422,,-0.001202979,0.01978057,0.2027166
42539.01331019,0.1079498,0.1307418,,-0.001202979,0.01858099,0.2003175
42539.01342593,0.1097491,0.1301420,,-0.001202979,0.01438246,0.1985181
42539.01354167,0.1109487,0.1295422,,-0.001202979,0.01498225,0.2003175
42539.01365741,0.1091493,0.1301420,,-0.001202979,0.01858099,0.2021168
42539.01377315,0.1067502,0.1301420,,-0.001202979,0.01978057,0.2027166
