TheTime,CH1,CH2,CH3,CH6,CH7
43721.00011577,0.001018820,0.06085681,0.06798557,0.04557209,0.2261699
43721.00023153,0.001018820,0.06592056,0.06798557,0.04796411,0.2255719
43721.00034729,0.006088065,0.06592056,0.06798557,0.04318007,0.2261699
43721.00046304,0.001018820,0.06592056,0.06798557,0.04318007,0.2261699
43721.00057880,0.001018820,0.06592056,0.07305478,0.04318007,0.2261699
43721.00069445,0.006088065,0.06592056,0.07305478,0.04437608,0.2261699
43721.00081019,0.001018820,0.06592056,0.06798557,0.04557209,0.2261699
43721.00092593,0.001018820,0.06592056,0.06798557,0.04617009,0.2261699
43721.00104167,0.006088065,0.06085681,0.06291637,0.04796411,0.2261699
43721.00115741,0.006088065,0.06592056,0.06798557,0.04856212,0.2261699
43721.00127316,0.001018820,0.06085681,0.07305478,0.05035614,0.2261699
43721.00138892,0.001018820,0.06592056,0.06798557,0.05035614,0.2261699
43721.00150468,0.006088065,0.06592056,0.07305478,0.04975813,0.2267679
43721.00162043,-0.004050424,0.06592056,0.07305478,0.04975813,0.2261699
43721.00173619,0.001018820,0.06085681,0.06798557,0.05035614,0.2267679
43721.00185195,-0.004050424,0.06085681,0.06291637,0.05035614,0.2267679
43721.00196770,0.001018820,0.05579307,0.06291637,0.04975813,0.2261699
43721.00208333,0.001018820,0.06085681,0.06798557,0.04975813,0.2267679
43721.00219907,0.006088065,0.05579307,0.05784717,0.05035614,0.2261699
43721.00231482,0.006088065,0.05579307,0.05784717,0.05035614,0.2261699
43721.00243056,0.001018820,0.05579307,0.06291637,0.04975813,0.2261699
43721.00254631,0.001018820,0.05579307,0.06291637,0.04975813,0.2255719
43721.00266207,0.006088065,0.05579307,0.05784717,0.04975813,0.2267679
43721.00277783,0.001018820,0.06085681,0.06291637,0.05035614,0.2261699
43721.00289359,0.001018820,0.05579307,0.05784717,0.04916012,0.2273659
43721.00300934,0.001018820,0.05579307,0.05784717,0.04796411,0.2261699
43721.00312510,0.001018820,0.05579307,0.05784717,0.04856212,0.2261699
43721.00324074,0.001018820,0.05072932,0.05784717,0.04916012,0.2261699
43721.00335648,0.001018820,0.05579307,0.05784717,0.04916012,0.2237779
43721.00347222,0.001018820,0.05579307,0.05784717,0.04856212,0.2237779
43721.00358796,0.001018820,0.06085681,0.06291637,0.04916012,0.2261699
43721.00370370,0.001018820,0.05579307,0.06291637,0.04736611,0.2237779
43721.00381946,0.006088065,0.05579307,0.06291637,0.04856212,0.2261699
43721.00393521,0.001018820,0.05579307,0.06291637,0.04796411,0.2243759
43721.00405097,0.001018820,0.05072932,0.05784717,0.04796411,0.2261699
43721.00416673,0.001018820,0.05579307,0.05277796,0.04975813,0.2261699
43721.00428248,0.001018820,0.05579307,0.05784717,0.04796411,0.2261699
43721.00439824,0.001018820,0.05072932,0.05784717,0.04796411,0.2261699
43721.00451399,0.001018820,0.05579307,0.05784717,0.04676810,0.2255719
43721.00462963,0.006088065,0.05579307,0.05784717,0.04676810,0.2273659
43721.00474537,0.001018820,0.05579307,0.05784717,0.04796411,0.2261699
43721.00486111,0.001018820,0.05072932,0.05784717,0.04796411,0.2267679
43721.00497685,0.006088065,0.05072932,0.05784717,0.04975813,0.2261699
43721.00509260,0.006088065,0.05579307,0.05277796,0.04916012,0.2243759
43721.00520836,0.001018820,0.05072932,0.05277796,0.05035614,0.2237779
43721.00532411,0.001018820,0.05072932,0.05277796,0.04975813,0.2243759
43721.00543987,0.006088065,0.05072932,0.05277796,0.04796411,0.2243759
43721.00555562,0.001018820,0.05072932,0.05784717,0.04676810,0.2237779
43721.00567138,0.001018820,0.05579307,0.05784717,0.04736611,0.2237779
43721.00578714,0.001018820,0.05579307,0.05784717,0.04796411,0.2243759
43721.00590278,0.006088065,0.05579307,0.05784717,0.04437608,0.2237779
43721.00601852,0.001018820,0.05579307,0.05784717,0.04497408,0.2267679
43721.00613426,-0.004050424,0.05579307,0.06291637,0.04856212,0.2243759
43721.00625000,0.001018820,0.05579307,0.05784717,0.04617009,0.2237779
43721.00636574,0.001018820,0.05579307,0.06291637,0.04497408,0.2237779
43721.00648150,0.006088065,0.05579307,0.05784717,0.04557209,0.2237779
43721.00659726,0.001018820,0.05072932,0.05784717,0.04676810,0.2243759
43721.00671301,0.001018820,0.06085681,0.05784717,0.04617009,0.2243759
43721.00682877,0.001018820,0.06085681,0.06291637,0.04676810,0.2267679
43721.00694452,0.006088065,0.05579307,0.06291637,0.04796411,0.2243759
43721.00706028,0.006088065,0.05072932,0.05784717,0.04736611,0.2237779
43721.00717593,0.006088065,0.05072932,0.05784717,0.04676810,0.2261699
43721.00729167,0.006088065,0.05072932,0.05277796,0.04676810,0.2243759
43721.00740741,0.006088065,0.05579307,0.05784717,0.04676810,0.2237779
43721.00752315,0.001018820,0.05072932,0.05784717,0.04617009,0.2237779
43721.00763889,0.001018820,0.05072932,0.05784717,0.04437608,0.2243759
43721.00775464,0.001018820,0.05579307,0.05784717,0.04796411,0.2243759
43721.00787040,0.006088065,0.05072932,0.04770876,0.04856212,0.2243759
43721.00798616,0.001018820,0.04566557,0.05277796,0.04676810,0.2243759
43721.00810191,0.006088065,0.04566557,0.05277796,0.04796411,0.2219838
43721.00821767,0.006088065,0.05072932,0.05277796,0.04736611,0.2225819
43721.00833343,0.001018820,0.05072932,0.05784717,0.04676810,0.2219838
43721.00844918,0.001018820,0.05072932,0.05277796,0.04557209,0.2243759
43721.00856482,0.006088065,0.04566557,0.05277796,0.04617009,0.2237779
43721.00868056,0.001018820,0.05072932,0.05784717,0.04676810,0.2243759
43721.00879630,0.006088065,0.04566557,0.05277796,0.04856212,0.2237779
43721.00891204,0.006088065,0.04060183,0.05277796,0.04856212,0.2243759
43721.00902779,0.006088065,0.05072932,0.04770876,0.04617009,0.2237779
43721.00914354,-0.004050424,0.05579307,0.05277796,0.04377807,0.2237779
43721.00925930,0.001018820,0.05072932,0.05277796,0.04377807,0.2237779
43721.00937506,0.006088065,0.05072932,0.05277796,0.04318007,0.2237779
43721.00949081,0.001018820,0.05579307,0.05784717,0.04318007,0.2237779
43721.00960656,0.001018820,0.05072932,0.05784717,0.04318007,0.2237779
43721.00972232,0.006088065,0.05579307,0.06291637,0.04198405,0.2237779
43721.00983796,0.001018820,0.05579307,0.05784717,0.04318007,0.2237779
43721.00995370,0.001018820,0.06085681,0.05784717,0.04318007,0.2237779
43721.01006945,0.001018820,0.05579307,0.05784717,0.04078804,0.2243759
43721.01018519,0.001018820,0.06085681,0.05784717,0.03959203,0.2225819
43721.01030093,0.001018820,0.05579307,0.05784717,0.03899402,0.2243759
43721.01041668,0.001018820,0.06085681,0.05784717,0.03959203,0.2237779
43721.01053244,0.001018820,0.05579307,0.06291637,0.04258206,0.2237779
43721.01064820,0.001018820,0.05072932,0.05784717,0.04557209,0.2243759
43721.01076395,0.006088065,0.05579307,0.05784717,0.04437608,0.2237779
43721.01087971,0.001018820,0.06085681,0.06291637,0.04318007,0.2243759
43721.01099547,0.001018820,0.05579307,0.06291637,0.04377807,0.2237779
43721.01111111,-0.004050424,0.05579307,0.05784717,0.04437608,0.2219838
43721.01122685,0.006088065,0.05072932,0.06291637,0.04318007,0.2225819
43721.01134259,0.001018820,0.05579307,0.05784717,0.04138605,0.2225819
43721.01145833,0.001018820,0.05579307,0.05784717,0.04318007,0.2225819
43721.01157408,0.006088065,0.05072932,0.05784717,0.04377807,0.2219838
43721.01168983,0.006088065,0.05072932,0.05784717,0.04258206,0.2219838
43721.01180559,0.001018820,0.05072932,0.05784717,0.04138605,0.2219838
43721.01192135,0.001018820,0.05072932,0.05784717,0.04318007,0.2219838
43721.01203710,0.006088065,0.05072932,0.05277796,0.04318007,0.2225819
43721.01215286,0.006088065,0.04566557,0.05784717,0.04258206,0.2237779
43721.01226862,0.006088065,0.05072932,0.05784717,0.04557209,0.2231799
43721.01238426,0.006088065,0.04566557,0.05784717,0.04437608,0.2243759
