TheTime,CH6,CH7,output,CH0,CH1,CH2
42543.00011622,0.03777428,0.1313416,,-0.001202979,0.2668942,0.2752913
42543.00023196,0.03837407,0.1313416,,-0.002405566,0.2662944,0.2746915
42543.00034770,0.04077324,0.1313416,,-0.002405566,0.2668942,0.2752913
42543.00046308,0.03897386,0.1313416,,-0.002405566,0.2674940,0.2752913
42543.00057900,0.03777428,0.1319414,,-0.001202979,0.2662944,0.2752913
42543.00069474,0.03777428,0.1313416,,-0.002405566,0.2662944,0.2746915
42543.00081048,0.03717449,0.1313416,,-0.001202979,0.2674940,0.2752913
42543.00092593,0.03717449,0.1313416,,-0.001202979,0.2662944,0.2746915
42543.00104177,0.03597491,0.1319414,,-0.002405566,0.2662944,0.2746915
42543.00115787,0.03597491,0.1337407,,-0.002405566,0.2674940,0.2758911
42543.00127343,0.03657470,0.1331410,,-0.001202979,0.2662944,0.2740917
42543.00138899,0.03417554,0.1331410,,-0.002405566,0.2668942,0.2758911
42543.00150491,0.03477533,0.1331410,,-0.002405566,0.2662944,0.2746915
42543.00162065,0.03477533,0.1331410,,-0.001202979,0.2680938,0.2758911
42543.00173611,0.03477533,0.1337407,,-0.001202979,0.2662944,0.2752913
42543.00185195,0.03537512,0.1307418,,-0.001202979,0.2662944,0.2746915
42543.00196759,0.03777428,0.1313416,,-0.002405566,0.2674940,0.2746915
42543.00208378,0.03897386,0.1295422,,-0.001202979,0.2668942,0.2752913
42543.00219952,0.03957365,0.1295422,,-0.001202979,0.2662944,0.2746915
42543.00231508,0.03897386,0.1289424,,-0.001202979,0.2680938,0.2764908
42543.00243056,0.03897386,0.1289424,,-0.001202979,0.2668942,0.2752913
42543.00254630,0.03897386,0.1295422,,-0.001202979,0.2662944,0.2752913
42543.00266204,0.03717449,0.1319414,,-0.001202979,0.2668942,0.2758911
42543.00277822,0.03777428,0.1313416,,-0.002405566,0.2662944,0.2740917
42543.00289352,0.03957365,0.1319414,,-0.002405566,0.2674940,0.2758911
42543.00300933,0.04017344,0.1313416,,-0.001202979,0.2662944,0.2746915
42543.00312543,0.03837407,0.1313416,,-0.001202979,0.2674940,0.2758911
42543.00324117,0.03657470,0.1319414,,-0.001202979,0.2668942,0.2746915
42543.00335648,0.03597491,0.1313416,,-0.002405566,0.2668942,0.2752913
42543.00347222,0.03777428,0.1313416,,-0.001202979,0.2668942,0.2752913
42543.00358803,0.03777428,0.1319414,,-0.001202979,0.2668942,0.2752913
42543.00370395,0.03657470,0.1337407,,-0.001202979,0.2662944,0.2746915
42543.00381987,0.03717449,0.1337407,,-0.001202979,0.2674940,0.2764908
42543.00393561,0.03657470,0.1331410,,-0.001202979,0.2680938,0.2764908
42543.00405116,0.03537512,0.1313416,,-0.001202979,0.2662944,0.2746915
42543.00416667,0.03417554,0.1313416,,-0.001202979,0.2668942,0.2758911
42543.00428246,0.03657470,0.1313416,,-0.001202979,0.2668942,0.2746915
42543.00439815,0.04017344,0.1319414,,-0.001202979,0.2668942,0.2752913
42543.00451394,0.03957365,0.1295422,,-0.002405566,0.2674940,0.2758911
42543.00462986,0.03717449,0.1295422,,-0.001202979,0.2674940,0.2758911
42543.00474542,0.03717449,0.1295422,,-0.001202979,0.2668942,0.2752913
42543.00486152,0.03657470,0.1289424,,-0.002405566,0.2668942,0.2758911
42543.00497708,0.03597491,0.1289424,,-0.001202979,0.2662944,0.2746915
42543.00509263,0.03837407,0.1295422,,-0.002405566,0.2662944,0.2746915
42543.00520837,0.04017344,0.1295422,,-0.001202979,0.2680938,0.2764908
42543.00532447,0.04017344,0.1289424,,-0.002405566,0.2662944,0.2746915
42543.00543985,0.03717449,0.1295422,,-0.001202979,0.2662944,0.2746915
42543.00555577,0.03657470,0.1289424,,-0.001202979,0.2668942,0.2758911
42543.00567169,0.03717449,0.1313416,,-0.001202979,0.2674940,0.2764908
42543.00578707,0.04017344,0.1319414,,-0.001202979,0.2668942,0.2752913
42543.00590281,0.03777428,0.1319414,,-0.001202979,0.2674940,0.2764908
42543.00601855,0.03597491,0.1337407,,-0.001202979,0.2668942,0.2746915
42543.00613428,0.03657470,0.1337407,,-0.001202979,0.2662944,0.2746915
42543.00625002,0.03597491,0.1337407,,-0.001202979,0.2662944,0.2746915
42543.00636612,0.03657470,0.1319414,,-0.001202979,0.2674940,0.2764908
42543.00648186,0.03777428,0.1313416,,-0.001202979,0.2668942,0.2752913
42543.00659760,0.03717449,0.1295422,,-0.001202979,0.2662944,0.2746915
42543.00671298,0.03717449,0.1295422,,-0.001202979,0.2662944,0.2746915
42543.00682872,0.03657470,0.1289424,,-0.001202979,0.2674940,0.2758911
42543.00694446,0.03657470,0.1295422,,-0.001202979,0.2668942,0.2752913
42543.00706038,0.03717449,0.1295422,,-0.001202979,0.2674940,0.2758911
42543.00717612,0.03657470,0.1295422,,-0.001202979,0.2668942,0.2752913
42543.00729204,0.03537512,0.1295422,,-0.001202979,0.2662944,0.2746915
42543.00740759,0.03477533,0.1295422,,-0.002405566,0.2674940,0.2758911
42543.00752315,0.03717449,0.1289424,,-0.002405566,0.2662944,0.2752913
42543.00763889,0.03657470,0.1295422,,-0.002405566,0.2668942,0.2758911
42543.00775499,0.03777428,0.1295422,,-0.001202979,0.2662944,0.2752913
42543.00787073,0.03717449,0.1289424,,-0.001202979,0.2668942,0.2752913
42543.00798647,0.03597491,0.1307418,,-0.002405566,0.2668942,0.2752913
42543.00810221,0.03597491,0.1313416,,-0.001202979,0.2668942,0.2752913
42543.00821795,0.03837407,0.1319414,,-0.002405566,0.2668942,0.2752913
42543.00833369,0.03837407,0.1319414,,-0.001202979,0.2662944,0.2746915
42543.00844924,0.03837407,0.1295422,,-0.002405566,0.2668942,0.2752913
42543.00856498,0.03897386,0.1295422,,-0.002405566,0.2674940,0.2758911
42543.00868072,0.03897386,0.1295422,,-0.001202979,0.2662944,0.2752913
42543.00879646,0.03717449,0.1289424,,-0.002405566,0.2668942,0.2752913
