TheTime,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
43413.00010417,1.392589,1.400130,1.407813,1.406255,0.3678973,0.3403890,0.02284786,0.2471001
43413.00021991,1.392589,1.430546,1.443260,1.396117,0.3738774,0.3439771,0.02224986,0.2482961
43413.00033565,1.392589,1.349438,1.321730,1.380909,0.3702893,0.3421830,0.02224986,0.2482961
43413.00045139,1.392589,1.400130,1.402750,1.385979,0.3750734,0.3451731,0.02224986,0.2482961
43413.00056713,1.392589,1.410269,1.417941,1.385979,0.3732793,0.3445751,0.02224986,0.2488941
43413.00068287,1.392589,1.420407,1.423005,1.396117,0.3744754,0.3445751,0.02344587,0.2471001
43413.00079861,1.392589,1.400130,1.397686,1.385979,0.3750734,0.3451731,0.02344587,0.2476981
43413.00091435,1.392589,1.349438,1.316666,1.385979,0.3696913,0.3409870,0.02344587,0.2476981
43413.00103009,1.392589,1.430546,1.453387,1.396117,0.3732793,0.3421830,0.02284786,0.2482961
43413.00114583,1.392589,1.349438,1.321730,1.385979,0.3678973,0.3415850,0.02404387,0.2476981
43413.00126158,1.392589,1.420407,1.417941,1.391048,0.3732793,0.3445751,0.02464188,0.2476981
43413.00137732,1.392589,1.359576,1.331857,1.375840,0.3720833,0.3427810,0.02284786,0.2482961
43413.00149306,1.392589,1.344369,1.321730,1.385979,0.3696913,0.3421830,0.02344587,0.2494921
43413.00160880,1.397658,1.354507,1.311602,1.380909,0.3702893,0.3421830,0.02464188,0.2506881
43413.00172454,1.392589,1.410269,1.407813,1.391048,0.3738774,0.3445751,0.02464188,0.2500901
43413.00184028,1.392589,1.395061,1.412877,1.375840,0.3750734,0.3445751,0.02523989,0.2494921
43413.00195602,1.392589,1.430546,1.448323,1.391048,0.3732793,0.3439771,0.02763191,0.2476981
43413.00207176,1.392589,1.425477,1.433132,1.391048,0.3744754,0.3445751,0.02703390,0.2500901
43413.00218750,1.392589,1.405200,1.412877,1.396117,0.3684953,0.3415850,0.02703390,0.2476981
43413.00230324,1.392589,1.400130,1.412877,1.396117,0.3684953,0.3415850,0.02583789,0.2476981
43413.00241898,1.392589,1.425477,1.453387,1.396117,0.3726813,0.3427810,0.02703390,0.2482961
43413.00253472,1.392589,1.379853,1.341985,1.375840,0.3738774,0.3427810,0.02822992,0.2494921
43413.00265046,1.392589,1.400130,1.412877,1.401186,0.3678973,0.3409870,0.02643590,0.2482961
43413.00276620,1.392589,1.420407,1.423005,1.391048,0.3744754,0.3451731,0.02464188,0.2482961
43413.00288195,1.392589,1.359576,1.336921,1.375840,0.3702893,0.3427810,0.02643590,0.2476981
43413.00299769,1.387520,1.405200,1.417941,1.401186,0.3684953,0.3409870,0.02523989,0.2476981
43413.00311343,1.392589,1.425477,1.448323,1.396117,0.3720833,0.3433791,0.02763191,0.2476981
43413.00322917,1.392589,1.410269,1.423005,1.391048,0.3738774,0.3433791,0.02763191,0.2476981
43413.00334491,1.392589,1.410269,1.402750,1.391048,0.3750734,0.3445751,0.02523989,0.2471001
43413.00346065,1.392589,1.430546,1.443260,1.401186,0.3714853,0.3421830,0.02583789,0.2482961
43413.00357639,1.387520,1.349438,1.321730,1.385979,0.3696913,0.3421830,0.02763191,0.2482961
43413.00369213,1.392589,1.430546,1.448323,1.401186,0.3714853,0.3433791,0.02703390,0.2459041
43413.00380787,1.392589,1.435615,1.453387,1.396117,0.3732793,0.3427810,0.02643590,0.2476981
43413.00392361,1.397658,1.415338,1.443260,1.401186,0.3696913,0.3421830,0.02464188,0.2465021
43413.00403935,1.392589,1.359576,1.316666,1.380909,0.3702893,0.3427810,0.02583789,0.2459041
43413.00415509,1.392589,1.410269,1.417941,1.391048,0.3738774,0.3445751,0.02583789,0.2459041
43413.00427083,1.392589,1.420407,1.443260,1.401186,0.3696913,0.3415850,0.02464188,0.2476981
43413.00438658,1.392589,1.400130,1.407813,1.406255,0.3672993,0.3415850,0.02523989,0.2482961
43413.00450232,1.392589,1.430546,1.453387,1.396117,0.3732793,0.3439771,0.02643590,0.2488941
43413.00461806,1.392589,1.384923,1.367303,1.375840,0.3732793,0.3433791,0.02583789,0.2482961
43413.00473380,1.392589,1.369715,1.367303,1.391048,0.3672993,0.3403890,0.02583789,0.2453061
43413.00484954,1.392589,1.369715,1.362240,1.391048,0.3684953,0.3409870,0.02464188,0.2459041
43413.00496528,1.392589,1.389992,1.372367,1.380909,0.3750734,0.3445751,0.02464188,0.2459041
43413.00508102,1.392589,1.425477,1.448323,1.396117,0.3726813,0.3421830,0.02344587,0.2459041
43413.00519676,1.392589,1.430546,1.453387,1.396117,0.3714853,0.3433791,0.02404387,0.2465021
43413.00531250,1.392589,1.354507,1.331857,1.375840,0.3726813,0.3427810,0.02344587,0.2459041
43413.00542824,1.392589,1.374784,1.347048,1.375840,0.3726813,0.3439771,0.02165185,0.2453061
43413.00554398,1.387520,1.384923,1.392622,1.391048,0.3672993,0.3415850,0.02344587,0.2465021
43413.00565972,1.392589,1.359576,1.336921,1.375840,0.3714853,0.3427810,0.02464188,0.2459041
43413.00577546,1.392589,1.395061,1.412877,1.375840,0.3738774,0.3445751,0.02942593,0.2465021
43413.00589120,1.392589,1.430546,1.443260,1.401186,0.3720833,0.3439771,0.02284786,0.2465021
43413.00600695,1.392589,1.400130,1.407813,1.375840,0.3744754,0.3451731,0.02224986,0.2453061
43413.00612269,1.392589,1.400130,1.397686,1.391048,0.3732793,0.3439771,0.02404387,0.2465021
43413.00623843,1.392589,1.405200,1.407813,1.401186,0.3684953,0.3415850,0.02344587,0.2459041
43413.00635417,1.392589,1.430546,1.438196,1.396117,0.3732793,0.3445751,0.02284786,0.2459041
43413.00646991,1.387520,1.410269,1.412877,1.391048,0.3744754,0.3445751,0.02464188,0.2435121
43413.00658565,1.392589,1.425477,1.438196,1.391048,0.3744754,0.3445751,0.02583789,0.2435121
43413.00670139,1.392589,1.400130,1.402750,1.406255,0.3684953,0.3415850,0.02523989,0.2441101
43413.00681713,1.387520,1.410269,1.407813,1.380909,0.3744754,0.3445751,0.02464188,0.2435121
43413.00693287,1.392589,1.369715,1.372367,1.396117,0.3678973,0.3415850,0.02464188,0.2453061
43413.00704861,1.392589,1.430546,1.443260,1.401186,0.3684953,0.3415850,0.02523989,0.2459041
