TheTime,CH1,CH2,CH3,CH6,CH7
44086.00016204,0.4471123,0.4507653,0.4380374,0.01208376,0.1663693
44086.00027778,0.4471123,0.4457015,0.4380374,0.01148575,0.1657713
44086.00039353,0.4471123,0.4457015,0.4329682,0.01208376,0.1657713
44086.00050929,0.4420431,0.4457015,0.4431066,0.01148575,0.1663693
44086.00062504,0.4420431,0.4457015,0.4380374,0.01088774,0.1669673
44086.00074079,0.4471123,0.4457015,0.4431066,0.01088774,0.1657713
44086.00085655,0.4471123,0.4457015,0.4380374,0.01028974,0.1651733
44086.00097230,0.4420431,0.4406378,0.4380374,0.01208376,0.1663693
44086.00108806,0.4420431,0.4457015,0.4380374,0.01387777,0.1663693
44086.00120381,0.4471123,0.4406378,0.4380374,0.01387777,0.1657713
44086.00131945,0.4420431,0.4457015,0.4431066,0.01268176,0.1657713
44086.00143519,0.4471123,0.4406378,0.4431066,0.01447578,0.1657713
44086.00155093,0.4471123,0.4457015,0.4431066,0.01447578,0.1651733
44086.00166667,0.4420431,0.4457015,0.4380374,0.01208376,0.1663693
44086.00178241,0.4471123,0.4406378,0.4380374,0.01327977,0.1651733
44086.00189816,0.4420431,0.4507653,0.4380374,0.01208376,0.1639773
44086.00201391,0.4471123,0.4406378,0.4431066,0.01028974,0.1633793
44086.00212967,0.4420431,0.4457015,0.4380374,0.01028974,0.1639773
44086.00224542,0.4521816,0.4457015,0.4380374,0.01088774,0.1615852
44086.00236118,0.4471123,0.4457015,0.4380374,0.01028974,0.1615852
44086.00247694,0.4471123,0.4457015,0.4431066,0.01148575,0.1615852
44086.00259269,0.4471123,0.4457015,0.4380374,0.01208376,0.1615852
44086.00270833,0.4471123,0.4457015,0.4431066,0.01088774,0.1615852
44086.00282407,0.4471123,0.4457015,0.4380374,0.009691732,0.1615852
44086.00293982,0.4420431,0.4406378,0.4431066,0.01208376,0.1621832
44086.00305559,0.4471123,0.4406378,0.4431066,0.01327977,0.1615852
44086.00317130,0.4420431,0.4507653,0.4380374,0.01268176,0.1591932
44086.00328706,0.4471123,0.4457015,0.4481758,0.01507379,0.1591932
44086.00340282,0.4471123,0.4457015,0.4431066,0.01447578,0.1597912
44086.00351857,0.4471123,0.4457015,0.4380374,0.01806382,0.1603892
44086.00363433,0.4471123,0.4457015,0.4380374,0.01208376,0.1597912
44086.00375009,0.4471123,0.4457015,0.4431066,0.01387777,0.1621832
44086.00386585,0.4471123,0.4457015,0.4431066,0.01327977,0.1621832
44086.00398148,0.4471123,0.4457015,0.4380374,0.01268176,0.1615852
44086.00409722,0.4471123,0.4457015,0.4380374,0.01208376,0.1591932
44086.00421296,0.4471123,0.4457015,0.4431066,0.01148575,0.1603892
44086.00432870,0.4471123,0.4457015,0.4380374,0.01028974,0.1591932
44086.00444445,0.4471123,0.4457015,0.4481758,0.01088774,0.1597912
44086.00456021,0.4471123,0.4457015,0.4380374,0.01148575,0.1615852
44086.00467596,0.4471123,0.4457015,0.4431066,0.01387777,0.1591932
44086.00479172,0.4471123,0.4457015,0.4431066,0.01327977,0.1615852
44086.00490747,0.4471123,0.4507653,0.4380374,0.01507379,0.1615852
44086.00502323,0.4420431,0.4457015,0.4431066,0.01447578,0.1591932
44086.00513899,0.4420431,0.4457015,0.4380374,0.01268176,0.1615852
44086.00525463,0.4471123,0.4457015,0.4431066,0.01148575,0.1609872
44086.00537037,0.4420431,0.4457015,0.4431066,0.01088774,0.1621832
44086.00548611,0.4420431,0.4457015,0.4481758,0.01148575,0.1615852
44086.00560185,0.4471123,0.4406378,0.4481758,0.01268176,0.1621832
44086.00571759,0.4471123,0.4457015,0.4431066,0.01268176,0.1615852
44086.00583335,0.4420431,0.4406378,0.4380374,0.01447578,0.1615852
44086.00594910,0.4471123,0.4457015,0.4431066,0.01208376,0.1621832
44086.00606486,0.4471123,0.4457015,0.4380374,0.01148575,0.1615852
44086.00618062,0.4471123,0.4406378,0.4380374,0.01208376,0.1621832
44086.00629637,0.4471123,0.4457015,0.4380374,0.01447578,0.1615852
44086.00641212,0.4420431,0.4406378,0.4431066,0.01327977,0.1615852
44086.00652788,0.4420431,0.4457015,0.4380374,0.01208376,0.1609872
44086.00664352,0.4420431,0.4457015,0.4380374,0.01208376,0.1639773
44086.00675926,0.4420431,0.4457015,0.4329682,0.01327977,0.1609872
44086.00687500,0.4471123,0.4457015,0.4380374,0.01327977,0.1639773
44086.00699074,0.4471123,0.4457015,0.4431066,0.01268176,0.1639773
44086.00710648,0.4471123,0.4457015,0.4431066,0.01148575,0.1633793
44086.00722223,0.4471123,0.4457015,0.4380374,0.01148575,0.1639773
44086.00733799,0.4420431,0.4457015,0.4329682,0.01088774,0.1663693
44086.00745374,0.4471123,0.4457015,0.4329682,0.01327977,0.1651733
44086.00756950,0.4471123,0.4406378,0.4431066,0.01208376,0.1657713
44086.00768526,0.4420431,0.4406378,0.4431066,0.01268176,0.1663693
44086.00780102,0.4471123,0.4457015,0.4431066,0.01208376,0.1639773
44086.00791677,0.4471123,0.4457015,0.4431066,0.01208376,0.1645753
44086.00803241,0.4471123,0.4457015,0.4380374,0.01148575,0.1633793
44086.00814815,0.4420431,0.4406378,0.4380374,0.01028974,0.1657713
44086.00826389,0.4420431,0.4457015,0.4431066,0.009691732,0.1663693
44086.00837963,0.4471123,0.4406378,0.4380374,0.01148575,0.1657713
44086.00849537,0.4471123,0.4457015,0.4431066,0.009691732,0.1657713
44086.00861112,0.4471123,0.4507653,0.4380374,0.01088774,0.1657713
44086.00872688,0.4471123,0.4457015,0.4431066,0.01088774,0.1675653
44086.00884263,0.4471123,0.4457015,0.4431066,0.01148575,0.1675653
44086.00895839,0.4471123,0.4406378,0.4431066,0.01028974,0.1681633
44086.00907414,0.4471123,0.4406378,0.4329682,0.01088774,0.1657713
44086.00918990,0.4471123,0.4457015,0.4431066,0.01088774,0.1651733
44086.00930566,0.4471123,0.4507653,0.4380374,0.009093726,0.1675653
44086.00942130,0.4471123,0.4406378,0.4380374,0.009093726,0.1681633
44086.00953704,0.4471123,0.4457015,0.4380374,0.01327977,0.1681633
44086.00965278,0.4471123,0.4507653,0.4380374,0.01327977,0.1681633
44086.00976852,0.4420431,0.4457015,0.4431066,0.009691732,0.1681633
44086.00988426,0.4420431,0.4457015,0.4380374,0.008495720,0.1675653
44086.01000001,0.4420431,0.4457015,0.4431066,0.01088774,0.1681633
44086.01011577,0.4471123,0.4457015,0.4380374,0.01208376,0.1675653
44086.01023152,0.4420431,0.4507653,0.4380374,0.01327977,0.1693593
44086.01034728,0.4420431,0.4406378,0.4431066,0.01387777,0.1717513
44086.01046304,0.4471123,0.4457015,0.4380374,0.01268176,0.1699573
44086.01057879,0.4420431,0.4457015,0.4431066,0.01268176,0.1699573
44086.01069455,0.4471123,0.4457015,0.4431066,0.01208376,0.1699573
44086.01081019,0.4471123,0.4457015,0.4431066,0.009093726,0.1699573
