TheTime,CH6,CH7,output,CH0,CH1,CH2
42540.00949080,0.01258309,0.3064804,,-0.001202979,0.06056632,0.2620959
42540.00960654,0.01558204,0.3064804,,-0.001202979,0.06056632,0.2620959
42540.00972228,0.01558204,0.3034814,,-0.001202979,0.05756737,0.2608963
42540.00983802,0.01618183,0.3040812,,-0.001202979,0.05456841,0.2608963
42540.00995376,0.01558204,0.3040812,,-0.001202979,0.05756737,0.2608963
42540.01006950,0.01318288,0.3016820,,-0.001202979,0.05876695,0.2590969
42540.01018523,0.01258309,0.3028816,,-0.001202979,0.05456841,0.2572976
42540.01030097,0.01318288,0.2998827,,-0.001202979,0.05216925,0.2578973
42540.01041671,0.01438246,0.2998827,,-0.001202979,0.05876695,0.2596967
42540.01053245,0.01498225,0.2998827,,-0.001202979,0.06176590,0.2560980
42540.01064819,0.01498225,0.2998827,,-0.001202979,0.05516820,0.2524992
42540.01076393,0.01678162,0.2998827,,-0.001202979,0.05396862,0.2530990
42540.01087967,0.01738141,0.2998827,,-0.001202979,0.05456841,0.2542986
42540.01099540,0.01618183,0.2986831,,-0.001202979,0.05336883,0.2542986
42540.01111114,0.01678162,0.2986831,,-0.001202979,0.05276904,0.2542986
42540.01122688,0.01798120,0.2980833,,-0.001202979,0.05336883,0.2560980
42540.01134262,0.01618183,0.3004825,,-0.001202979,0.05696758,0.2578973
42540.01145836,0.01618183,0.2998827,,-0.001202979,0.05636778,0.2554982
42540.01157410,0.01738141,0.3022818,,-0.001202979,0.05456841,0.2524992
42540.01168983,0.01618183,0.3058806,,-0.001202979,0.05696758,0.2518994
42540.01180557,0.01558204,0.3070802,,-0.001202979,0.05636778,0.2512997
42540.01192130,0.01318288,0.3076799,,-0.001202979,0.05876695,0.2554982
42540.01203705,0.01438246,0.3076799,,-0.002405566,0.06116611,0.2584971
42540.01215279,0.01618183,0.3076799,,-0.001202979,0.05936674,0.2572976
42540.01226853,0.01738141,0.3082797,,-0.001202979,0.05756737,0.2560980
42540.01238427,0.01738141,0.3076799,,-3.916211e-07,0.05576799,0.2524992
42540.01250000,0.01438246,0.3076799,,-0.001202979,0.04917030,0.2489005
42540.01261574,0.01318288,0.3076799,,-0.001202979,0.05036988,0.2518994
42540.01273148,0.01438246,0.3082797,,-0.001202979,0.05396862,0.2548984
42540.01284722,0.01738141,0.3076799,,-0.001202979,0.05636778,0.2566978
42540.01296296,0.01558204,0.3058806,,-0.001202979,0.05996653,0.2578973
42540.01307870,0.01258309,0.3028816,,-0.001202979,0.06056632,0.2578973
42540.01319445,0.01498225,0.3022818,,-0.001202979,0.05936674,0.2560980
42540.01331019,0.02098015,0.2986831,,-3.916211e-07,0.05816716,0.2554982
42540.01342593,0.02157994,0.2920854,,-0.001202979,0.05816716,0.2542986
42540.01354167,0.02337931,0.2878869,,-0.001202979,0.05876695,0.2548984
42540.01365741,0.02517869,0.2818890,,-0.001202979,0.06116611,0.2560980
42540.01377315,0.02937722,0.2758911,,-0.001202979,0.05756737,0.2524992
42540.01388889,0.03177638,0.2698932,,-0.001202979,0.05096967,0.2477009
42540.01400463,0.03057680,0.2656946,,-0.001202979,0.04977009,0.2495003
42540.01412037,0.02937722,0.2620959,,-0.001202979,0.05156946,0.2506999
42540.01423611,0.02937722,0.2584971,,-0.001202979,0.05096967,0.2495003
42540.01435185,0.02877743,0.2548984,,-0.001202979,0.04977009,0.2471011
42540.01446759,0.02697806,0.2518994,,-0.001202979,0.05456841,0.2530990
42540.01458333,0.02757785,0.2506999,,-3.916211e-07,0.05876695,0.2572976
42540.01469908,0.02997701,0.2501001,,-0.001202979,0.05396862,0.2524992
42540.01481482,0.03177638,0.2489005,,-0.001202979,0.04917030,0.2459015
42540.01493056,0.03237617,0.2459015,,-0.001202979,0.05276904,0.2495003
42540.01504630,0.03297596,0.2465013,,-0.001202979,0.05576799,0.2506999
42540.01516204,0.03477533,0.2441022,,-0.001202979,0.05576799,0.2489005
42540.01527778,0.03477533,0.2411032,,-0.001202979,0.05156946,0.2471011
42540.01539352,0.03537512,0.2417030,,-0.001202979,0.04557156,0.2441022
42540.01550926,0.03477533,0.2405034,,-0.001202979,0.04317240,0.2399036
42540.01562500,0.03537512,0.2381043,,-0.001202979,0.04917030,0.2423028
42540.01574074,0.03837407,0.2345055,,-0.001202979,0.04857051,0.2435024
42540.01585648,0.03957365,0.2291074,,-0.001202979,0.04737093,0.2411032
42540.01597222,0.03897386,0.2279078,,-0.001202979,0.04377219,0.2393038
42540.01608796,0.03957365,0.2261085,,-0.001202979,0.04617135,0.2411032
42540.01620371,0.03777428,0.2237093,,-0.001202979,0.05036988,0.2447020
42540.01631956,0.03717449,0.2219099,,-0.001202979,0.04857051,0.2441022
42540.01643529,0.03717449,0.2201106,,-0.001202979,0.04797072,0.2429026
42540.01655103,0.03657470,0.2177114,,-0.001202979,0.04497177,0.2417030
42540.01666677,0.03717449,0.2165118,,-0.001202979,0.04257261,0.2393038
42540.01678251,0.03777428,0.2147124,,-0.001202979,0.03957365,0.2375045
42540.01689825,0.03717449,0.2141127,,-0.001202979,0.04017344,0.2357051
42540.01701399,0.03537512,0.2117135,,-0.001202979,0.04377219,0.2387041
42540.01712972,0.03657470,0.2123133,,-3.916211e-07,0.04677114,0.2411032
42540.01724546,0.03897386,0.2123133,,-0.001202979,0.04437198,0.2399036
42540.01736120,0.04137303,0.2111137,,-0.001202979,0.04437198,0.2399036
42540.01747694,0.03957365,0.2111137,,-0.001202979,0.04557156,0.2399036
42540.01759268,0.03957365,0.2123133,,-0.001202979,0.04437198,0.2399036
42540.01770859,0.03837407,0.2117135,,-0.001202979,0.04557156,0.2417030
42540.01782416,0.04077324,0.2117135,,-0.001202979,0.04857051,0.2429026
42540.01793989,0.03957365,0.2099141,,-0.001202979,0.04797072,0.2405034
42540.01805563,0.04077324,0.2117135,,-0.001202979,0.04137303,0.2369047
42540.01817137,0.04137303,0.2117135,,-0.001202979,0.03897386,0.2363049
42540.01828711,0.04137303,0.2141127,,-0.001202979,0.04017344,0.2375045
42540.01840285,0.04257261,0.2141127,,-0.001202979,0.03717449,0.2357051
42540.01851859,0.04257261,0.2123133,,-0.001202979,0.03657470,0.2345055
42540.01863432,0.04257261,0.2117135,,-0.001202979,0.03837407,0.2345055
42540.01875006,0.04197282,0.2123133,,-0.001202979,0.03777428,0.2351053
42540.01886580,0.04377219,0.2117135,,-0.001202979,0.03477533,0.2339057
42540.01898154,0.04377219,0.2093143,,-0.001202979,0.03717449,0.2333059
42540.01909728,0.04917030,0.2057156,,-0.001202979,0.03897386,0.2345055
42540.01921302,0.04317240,0.2045160,,-0.001202979,0.03957365,0.2363049
42540.01932876,0.04497177,0.2021168,,-0.001202979,0.03657470,0.2345055
42540.01944449,0.04437198,0.1973185,,-0.001202979,0.03597491,0.2315066
42540.01956023,0.04857051,0.1961189,,-0.001202979,0.03837407,0.2327062
42540.01967597,0.04977009,0.1943196,,-0.001202979,0.03657470,0.2333059
42540.01979188,0.04737093,0.1901210,,-3.916211e-07,0.03477533,0.2327062
42540.01990762,0.04617135,0.1889215,,-0.001202979,0.03297596,0.2309068
42540.02002336,0.04677114,0.1847229,,-0.001202979,0.03597491,0.2327062
42540.02013909,0.04737093,0.1799246,,-0.001202979,0.03777428,0.2333059
42540.02025483,0.04497177,0.1787250,,-0.001202979,0.03897386,0.2345055
42540.02037057,0.04317240,0.1739267,,-0.001202979,0.03957365,0.2345055
42540.02048614,0.04257261,0.1703280,,-0.001202979,0.03657470,0.2303070
42540.02060205,0.04317240,0.1649298,,-0.001202979,0.03417554,0.2279078
42540.02071779,0.04557156,0.1643301,,-0.001202979,0.03417554,0.2267082
42540.02083353,0.04557156,0.1619309,,-0.001202979,0.03357575,0.2249089
42540.02094926,0.04377219,0.1619309,,-0.001202979,0.03297596,0.2273080
42540.02106483,0.04197282,0.1607313,,-0.001202979,0.03417554,0.2267082
42540.02118057,0.04257261,0.1601315,,-0.001202979,0.03357575,0.2267082
42540.02129648,0.04377219,0.1595317,,-0.001202979,0.03177638,0.2261085
42540.02141205,0.04617135,0.1583321,,-0.001202979,0.02817764,0.2255087
42540.02152796,0.04377219,0.1595317,,-0.001202979,0.02817764,0.2243091
42540.02164369,0.04377219,0.1583321,,-0.001202979,0.03117659,0.2255087
42540.02175943,0.04437198,0.1553332,,-0.001202979,0.03417554,0.2291074
42540.02187500,0.04617135,0.1571326,,-0.001202979,0.03537512,0.2291074
42540.02199074,0.04437198,0.1565328,,-0.001202979,0.03657470,0.2297072
42540.02210665,0.04257261,0.1559330,,-0.001202979,0.03657470,0.2297072
42540.02222222,0.04257261,0.1553332,,-0.001202979,0.03777428,0.2297072
42540.02233813,0.04317240,0.1559330,,-0.001202979,0.03837407,0.2297072
42540.02245371,0.04077324,0.1559330,,-0.001202979,0.03837407,0.2297072
42540.02256960,0.03957365,0.1559330,,-0.001202979,0.03897386,0.2291074
42540.02268519,0.04077324,0.1565328,,-0.001202979,0.03657470,0.2279078
42540.02280093,0.04317240,0.1559330,,-3.916211e-07,0.03237617,0.2267082
42540.02291682,0.04377219,0.1577324,,-0.001202979,0.02997701,0.2249089
42540.02303241,0.04137303,0.1595317,,-0.001202979,0.02997701,0.2249089
42540.02314829,0.04137303,0.1601315,,-0.001202979,0.03177638,0.2255087
42540.02326389,0.04137303,0.1601315,,-0.001202979,0.03777428,0.2285076
42540.02337977,0.04317240,0.1601315,,-3.916211e-07,0.03717449,0.2309068
42540.02349537,0.04257261,0.1601315,,-3.916211e-07,0.03057680,0.2273080
42540.02361111,0.04137303,0.1601315,,-0.001202979,0.02937722,0.2225097
42540.02372699,0.03897386,0.1607313,,-0.001202979,0.03417554,0.2249089
42540.02384259,0.03897386,0.1601315,,-0.001202979,0.03357575,0.2279078
42540.02395846,0.03957365,0.1601315,,-0.001202979,0.03177638,0.2267082
42540.02407420,0.03957365,0.1577324,,-0.001202979,0.03237617,0.2279078
42540.02418994,0.04017344,0.1601315,,-0.001202979,0.03417554,0.2291074
42540.02430556,0.04077324,0.1601315,,-0.001202979,0.03957365,0.2309068
42540.02442130,0.03897386,0.1601315,,-0.001202979,0.04197282,0.2291074
42540.02453716,0.03837407,0.1595317,,-0.001202979,0.03777428,0.2273080
42540.02465278,0.03717449,0.1577324,,-0.001202979,0.03237617,0.2249089
42540.02476852,0.03897386,0.1577324,,-0.001202979,0.02937722,0.2237093
42540.02488437,0.04017344,0.1577324,,-0.001202979,0.02877743,0.2231095
42540.02500011,0.03957365,0.1577324,,-0.001202979,0.03117659,0.2243091
42540.02511574,0.04137303,0.1577324,,-0.001202979,0.03537512,0.2261085
42540.02523148,0.03897386,0.1583321,,-0.002405566,0.03897386,0.2285076
42540.02534733,0.03837407,0.1571326,,-0.001202979,0.04017344,0.2303070
42540.02546308,0.03837407,0.1577324,,-0.001202979,0.03957365,0.2291074
42540.02557880,0.03897386,0.1559330,,-0.001202979,0.04077324,0.2297072
42540.02569455,0.03777428,0.1559330,,-0.001202979,0.04077324,0.2303070
42540.02581028,0.03657470,0.1559330,,-0.001202979,0.03717449,0.2261085
42540.02592603,0.03537512,0.1559330,,-0.001202979,0.03237617,0.2243091
42540.02604177,0.03657470,0.1559330,,-0.001202979,0.03657470,0.2279078
42540.02615751,0.03537512,0.1559330,,-0.001202979,0.03777428,0.2327062
