TheTime,CH1,CH2,CH3,CH6,CH7
42815.00013953,-0.004050424,0.01528310,0.01222433,0.05095414,0.1538112
42815.00025472,0.001018820,0.01528310,0.01222433,0.05035614,0.1538112
42815.00037100,0.001018820,0.01528310,0.01222433,0.04916012,0.1550072
42815.00048638,0.001018820,0.01528310,0.01222433,0.05155215,0.1532132
42815.00060194,-0.004050424,0.01528310,0.01222433,0.05215015,0.1550072
42815.00071822,-0.004050424,0.01528310,0.01729354,0.05215015,0.1562032
42815.00083360,0.001018820,0.01021935,0.01222433,0.05215015,0.1538112
42815.00094916,0.001018820,0.01021935,0.007155130,0.05155215,0.1544092
42815.00106544,-0.004050424,0.01528310,0.007155130,0.05274816,0.1544092
42815.00118082,0.001018820,0.01021935,0.01222433,0.05215015,0.1538112
42815.00129638,0.001018820,0.01528310,0.01222433,0.05155215,0.1538112
42815.00141266,0.006088065,0.01528310,0.007155130,0.05155215,0.1538112
42815.00152804,0.001018820,0.01021935,0.01222433,0.05095414,0.1538112
42815.00164360,-0.004050424,0.01528310,0.007155130,0.05095414,0.1556052
42815.00175988,-0.004050424,0.01528310,0.01222433,0.05095414,0.1556052
42815.00187526,0.001018820,0.02034684,0.01729354,0.05215015,0.1579972
42815.00199082,0.001018820,0.01528310,0.007155130,0.04975813,0.1556052
42815.00210710,-0.004050424,0.02034684,0.01222433,0.04975813,0.1550072
42815.00222247,-0.004050424,0.01528310,0.01222433,0.05215015,0.1556052
42815.00233803,0.001018820,0.01528310,0.01222433,0.04796411,0.1544092
42815.00245432,0.001018820,0.01528310,0.01729354,0.04736611,0.1550072
42815.00256969,-0.004050424,0.01021935,0.01222433,0.04676810,0.1544092
42815.00268525,-0.004050424,0.01528310,0.01222433,0.04736611,0.1562032
42815.00280153,-0.004050424,0.01021935,0.01222433,0.05215015,0.1556052
42815.00291691,0.001018820,0.01021935,0.01222433,0.05095414,0.1556052
42815.00303247,0.001018820,0.01021935,0.01222433,0.05215015,0.1556052
42815.00314875,0.001018820,0.01021935,0.01222433,0.05215015,0.1556052
42815.00326413,-0.004050424,0.01528310,0.01222433,0.05334617,0.1550072
42815.00337969,-0.004050424,0.01528310,0.01222433,0.05334617,0.1562032
42815.00349597,-0.004050424,0.01528310,0.01729354,0.05454218,0.1544092
42815.00361135,-0.004050424,0.01528310,0.01222433,0.05394417,0.1538112
42815.00372691,0.001018820,0.01528310,0.01222433,0.05394417,0.1544092
42815.00384319,-0.004050424,0.01528310,0.01222433,0.05215015,0.1544092
42815.00395857,-0.004050424,0.02034684,0.007155130,0.05155215,0.1544092
42815.00407413,-0.004050424,0.01528310,0.01222433,0.05095414,0.1556052
42815.00419041,0.001018820,0.01528310,0.01729354,0.05215015,0.1556052
42815.00430579,0.001018820,0.01528310,0.01222433,0.05215015,0.1550072
42815.00442134,-0.004050424,0.01021935,0.01222433,0.05334617,0.1556052
42815.00453763,-0.004050424,0.01528310,0.01222433,0.05155215,0.1562032
42815.00465300,0.001018820,0.01021935,0.01222433,0.05215015,0.1550072
42815.00476856,0.001018820,0.01528310,0.01222433,0.05155215,0.1562032
42815.00488485,0.001018820,0.01528310,0.01222433,0.05215015,0.1556052
42815.00500022,0.001018820,0.01021935,0.01729354,0.05155215,0.1556052
42815.00511578,0.001018820,0.01528310,0.007155130,0.05035614,0.1556052
42815.00523206,0.001018820,0.01528310,0.01222433,0.05035614,0.1544092
42815.00534744,-0.004050424,0.01528310,0.01222433,0.04975813,0.1538112
42815.00546300,-0.004050424,0.01528310,0.01222433,0.05035614,0.1532132
42815.00557928,0.001018820,0.01528310,0.01729354,0.05334617,0.1556052
42815.00569466,-0.004050424,0.01528310,0.01222433,0.05035614,0.1562032
42815.00581022,0.001018820,0.01021935,0.007155130,0.04975813,0.1538112
42815.00592686,-0.004050424,0.01021935,0.01222433,0.05095414,0.1538112
42815.00604224,0.001018820,0.01021935,0.007155130,0.05215015,0.1532132
42815.00615744,0.001018820,0.01021935,0.01222433,0.05334617,0.1538112
42815.00627372,-0.004050424,0.01021935,0.01222433,0.05215015,0.1556052
42815.00638910,0.006088065,0.01021935,0.01222433,0.05095414,0.1556052
42815.00650466,0.001018820,0.01528310,0.01729354,0.05035614,0.1556052
42815.00662094,0.001018820,0.01021935,0.01222433,0.05095414,0.1562032
42815.00673613,-0.004050424,0.01021935,0.01222433,0.04975813,0.1562032
42815.00685187,-0.004050424,0.01528310,0.01222433,0.04916012,0.1579972
42815.00696816,0.001018820,0.01528310,0.01222433,0.04916012,0.1573992
42815.00708353,0.001018820,0.01021935,0.01222433,0.04856212,0.1579972
42815.00719909,-0.004050424,0.01528310,0.01222433,0.04916012,0.1591932
42815.00731537,-0.004050424,0.01021935,0.01222433,0.05035614,0.1597912
42815.00743075,0.001018820,0.02034684,0.01222433,0.04856212,0.1597912
42815.00754631,-0.004050424,0.02034684,0.01222433,0.04796411,0.1603892
42815.00766259,0.001018820,0.02034684,0.01222433,0.04557209,0.1603892
42815.00777797,0.001018820,0.01528310,0.01222433,0.04676810,0.1597912
42815.00789353,0.001018820,0.01021935,0.01222433,0.04736611,0.1597912
42815.00800981,-0.004050424,0.01528310,0.01222433,0.04676810,0.1621832
42815.00812519,0.001018820,0.02034684,0.01222433,0.04916012,0.1615852
42815.00824075,0.001018820,0.01528310,0.01222433,0.04676810,0.1603892
42815.00835703,0.001018820,0.01021935,0.007155130,0.04736611,0.1621832
42815.00847241,0.001018820,0.01021935,0.01222433,0.04975813,0.1621832
42815.00858797,-0.004050424,0.01528310,0.007155130,0.05035614,0.1591932
42815.00870425,-0.004050424,0.01528310,0.01222433,0.05095414,0.1615852
42815.00881963,0.001018820,0.01528310,0.01729354,0.04975813,0.1597912
42815.00893519,0.001018820,0.01528310,0.01222433,0.04975813,0.1579972
42815.00905147,0.001018820,0.01021935,0.01222433,0.04916012,0.1573992
42815.00916685,-0.004050424,0.01021935,0.007155130,0.04856212,0.1585952
42815.00928241,-0.004050424,0.01528310,0.01222433,0.04856212,0.1585952
42815.00939869,0.001018820,0.01528310,0.01222433,0.04916012,0.1573992
42815.00951406,0.006088065,0.01528310,0.01222433,0.04736611,0.1573992
42815.00962963,0.001018820,0.01528310,0.01222433,0.04916012,0.1585952
42815.00974590,0.001018820,0.01528310,0.01222433,0.04916012,0.1591932
42815.00986128,0.001018820,0.01528310,0.01729354,0.04916012,0.1579972
42815.00997685,0.001018820,0.01528310,0.01729354,0.05334617,0.1597912
42815.01009259,0.001018820,0.01021935,0.01222433,0.05274816,0.1568012
42815.01020833,0.001018820,0.01528310,0.01222433,0.05334617,0.1573992
42815.01032408,0.001018820,0.01528310,0.01222433,0.05274816,0.1579972
42815.01043982,-0.004050424,0.02034684,0.01729354,0.05334617,0.1550072
42815.01055556,-0.004050424,0.02034684,0.01222433,0.05394417,0.1556052
42815.01067130,0.001018820,0.02034684,0.01222433,0.05215015,0.1562032
42815.01078704,-0.004050424,0.02034684,0.01222433,0.05274816,0.1562032
42815.01090278,0.001018820,0.01528310,0.01729354,0.05155215,0.1556052
42815.01101852,0.001018820,0.01528310,0.01222433,0.05215015,0.1568012
42815.01113426,0.001018820,0.01528310,0.01222433,0.05095414,0.1579972
42815.01125000,-0.004050424,0.01528310,0.01222433,0.05155215,0.1591932
42815.01136574,0.001018820,0.01021935,0.01222433,0.05035614,0.1597912
42815.01148148,-0.004050424,0.01528310,0.01222433,0.05035614,0.1591932
42815.01159722,0.001018820,0.01528310,0.01729354,0.05155215,0.1591932
42815.01171296,0.001018820,0.02034684,0.01729354,0.05155215,0.1585952
42815.01182871,0.001018820,0.01528310,0.01222433,0.04975813,0.1591932
