TheTime,CH1,CH2,CH3,CH6,CH7
43958.00011574,0.07198825,-0.01003563,0.05784717,0.01567179,0.2997246
43958.00023148,0.06691900,-0.004971887,0.05784717,0.01507379,0.2997246
43958.00034723,0.07198825,-0.01003563,0.06291637,0.01626980,0.2997246
43958.00046298,0.06691900,-0.004971887,0.06291637,0.01746581,0.2991266
43958.00057873,0.06691900,-0.004971887,0.05784717,0.01686780,0.2997246
43958.00069448,0.06691900,-0.01003563,0.05277796,0.01626980,0.2997246
43958.00081023,0.07198825,-0.01509938,0.05784717,0.01686780,0.3003226
43958.00092598,0.06691900,-0.01509938,0.05784717,0.01746581,0.3015186
43958.00104173,0.06691900,-0.01509938,0.05784717,0.01387777,0.3009206
43958.00115748,0.06184976,-0.01509938,0.05784717,0.01567179,0.3015186
43958.00127323,0.06691900,-0.01003563,0.05784717,0.01686780,0.3015186
43958.00138899,0.07198825,-0.01509938,0.05784717,0.01686780,0.3015186
43958.00150474,0.06691900,-0.01003563,0.05784717,0.01806382,0.3039107
43958.00162037,0.07198825,-0.01509938,0.05784717,0.01806382,0.3015186
43958.00173611,0.06691900,-0.004971887,0.06291637,0.01686780,0.3015186
43958.00185185,0.06184976,-0.004971887,0.05784717,0.01746581,0.3015186
43958.00196759,0.06691900,-0.01003563,0.06291637,0.01806382,0.3009206
43958.00208333,0.06691900,-0.01509938,0.05277796,0.01746581,0.3015186
43958.00219907,0.06691900,-0.01509938,0.05784717,0.01686780,0.2997246
43958.00231482,0.06691900,-0.01509938,0.05277796,0.01507379,0.2991266
43958.00243056,0.07198825,-0.01509938,0.05784717,0.01567179,0.2991266
43958.00254630,0.07198825,-0.01509938,0.05784717,0.01626980,0.2991266
43958.00266205,0.07198825,-0.01003563,0.06291637,0.01686780,0.3015186
43958.00277780,0.06691900,-0.01509938,0.05784717,0.01746581,0.3015186
43958.00289355,0.06691900,-0.01003563,0.06291637,0.01626980,0.3033127
43958.00300930,0.06691900,-0.01003563,0.05784717,0.01686780,0.3033127
43958.00312505,0.06691900,-0.01003563,0.06291637,0.01567179,0.3033127
43958.00324080,0.07198825,-0.004971887,0.05784717,0.01686780,0.3015186
43958.00335655,0.06691900,-0.004971887,0.05277796,0.01746581,0.3015186
43958.00347230,0.06691900,-0.004971887,0.05784717,0.01686780,0.3021166
43958.00358805,0.06691900,-0.01003563,0.05784717,0.01567179,0.3003226
43958.00370380,0.06691900,-0.01003563,0.05784717,0.01866182,0.2949406
43958.00381955,0.06691900,-0.01509938,0.05277796,0.01806382,0.2931466
43958.00393519,0.06691900,-0.01003563,0.06291637,0.02045584,0.2907545
43958.00405093,0.06691900,-0.01003563,0.05784717,0.02165185,0.2895585
