TheTime,CH1,CH2,CH3,CH6,CH7
43025.00018519,-0.004050424,0.03047434,0.02236274,0.03660200,0.4199238
43025.00030177,-0.004050424,0.03047434,0.02236274,0.03540599,0.4097577
43025.00041667,0.001018820,0.02541059,0.02236274,0.03660200,0.4055717
43025.00053241,-0.004050424,0.03553808,0.02743194,0.03720001,0.4037777
43025.00064815,-0.004050424,0.03047434,0.02236274,0.03720001,0.4019836
43025.00076389,-0.004050424,0.03047434,0.02236274,0.03660200,0.3995916
43025.00087963,0.001018820,0.03047434,0.02236274,0.03660200,0.3971996
43025.00099621,-0.004050424,0.03047434,0.02743194,0.03720001,0.3995916
43025.00111111,0.001018820,0.03047434,0.02743194,0.03480798,0.3995916
43025.00122769,0.001018820,0.02541059,0.02236274,0.03899402,0.3977976
43025.00134259,-0.004050424,0.02541059,0.02236274,0.03779801,0.3942096
43025.00145833,0.001018820,0.03047434,0.02743194,0.03600399,0.3936116
43025.00157408,0.001018820,0.03047434,0.02743194,0.03779801,0.3960036
43025.00168982,-0.004050424,0.03047434,0.02743194,0.03600399,0.3960036
43025.00180640,0.001018820,0.03047434,0.02743194,0.03660200,0.4001896
43025.00192130,-0.004050424,0.03553808,0.02743194,0.03720001,0.4013856
43025.00203788,-0.004050424,0.03047434,0.02743194,0.03600399,0.4019836
43025.00215278,0.001018820,0.03553808,0.02236274,0.03959203,0.3983956
43025.00226852,0.001018820,0.03047434,0.02236274,0.03779801,0.3954056
43025.00238426,0.001018820,0.03047434,0.02236274,0.03600399,0.3876315
43025.00250000,-0.004050424,0.02541059,0.02236274,0.03899402,0.3798574
43025.00261658,-0.004050424,0.03047434,0.02236274,0.03959203,0.3750734
43025.00273148,0.001018820,0.03047434,0.02236274,0.03720001,0.3702893
43025.00284734,-0.004050424,0.02541059,0.02236274,0.03899402,0.3577312
43025.00296296,0.001018820,0.03553808,0.02236274,0.04019004,0.3469671
43025.00307882,0.001018820,0.02541059,0.02743194,0.03839602,0.3403890
43025.00319636,-0.004050424,0.03047434,0.02743194,0.03779801,0.3326149
