TheTime,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
43433.00010421,1.387520,1.400130,1.412877,1.396117,0.3625152,0.3433791,0.04078804,0.9192588
43433.00021995,1.392589,1.415338,1.412877,1.396117,0.3661033,0.3463691,0.04198405,0.9198568
43433.00033569,1.392589,1.354507,1.321730,1.380909,0.3613192,0.3427810,0.04318007,0.9186608
43433.00045143,1.392589,1.359576,1.321730,1.375840,0.3643093,0.3439771,0.04318007,0.9210528
43433.00056717,1.392589,1.359576,1.347048,1.385979,0.3631132,0.3427810,0.04497408,0.9210528
43433.00068333,1.392589,1.369715,1.331857,1.370771,0.3667013,0.3457711,0.04676810,0.9210528
43433.00079865,1.392589,1.410269,1.407813,1.401186,0.3672993,0.3469671,0.04796411,0.9204548
43433.00091439,1.392589,1.359576,1.336921,1.370771,0.3649073,0.3457711,0.04975813,0.9216508
43433.00103013,1.387520,1.364646,1.331857,1.370771,0.3637113,0.3445751,0.04856212,0.9204548
43433.00114587,1.392589,1.344369,1.321730,1.375840,0.3625152,0.3433791,0.05035614,0.9216508
43433.00126161,1.392589,1.379853,1.377431,1.385979,0.3625152,0.3433791,0.04856212,0.9210528
43433.00137735,1.392589,1.425477,1.443260,1.406255,0.3649073,0.3451731,0.04617009,0.9198568
43433.00149309,1.392589,1.410269,1.407813,1.401186,0.3672993,0.3475651,0.04497408,0.9192588
43433.00160884,1.387520,1.354507,1.321730,1.375840,0.3637113,0.3445751,0.04497408,0.9192588
43433.00172458,1.392589,1.410269,1.412877,1.380909,0.3672993,0.3481631,0.04736611,0.9186608
43433.00184032,1.387520,1.425477,1.448323,1.406255,0.3655053,0.3463691,0.04676810,0.9192588
43433.00195606,1.392589,1.364646,1.347048,1.391048,0.3631132,0.3433791,0.04617009,0.9192588
43433.00207180,1.387520,1.420407,1.428068,1.396117,0.3661033,0.3469671,0.04497408,0.9192588
43433.00218832,1.392589,1.425477,1.448323,1.406255,0.3631132,0.3439771,0.04676810,0.9198568
43433.00230328,1.392589,1.389992,1.402750,1.396117,0.3619172,0.3415850,0.04736611,0.9174648
43433.00241902,1.392589,1.395061,1.412877,1.396117,0.3631132,0.3427810,0.04377807,0.9174648
43433.00253476,1.392589,1.395061,1.412877,1.406255,0.3625152,0.3439771,0.04437608,0.9156707
43433.00265050,1.387520,1.405200,1.438196,1.401186,0.3637113,0.3427810,0.04617009,0.9156707
43433.00276624,1.392589,1.420407,1.412877,1.401186,0.3678973,0.3475651,0.04736611,0.9132787
43433.00288198,1.392589,1.384923,1.392622,1.391048,0.3613192,0.3433791,0.04856212,0.9138767
43433.00299772,1.392589,1.405200,1.397686,1.380909,0.3684953,0.3481631,0.04916012,0.9132787
43433.00311346,1.392589,1.364646,1.362240,1.385979,0.3619172,0.3433791,0.04497408,0.9138767
43433.00322920,1.392589,1.410269,1.412877,1.380909,0.3678973,0.3481631,0.04676810,0.9132787
43433.00334494,1.392589,1.374784,1.382495,1.391048,0.3625152,0.3433791,0.04796411,0.9114847
43433.00346068,1.392589,1.425477,1.448323,1.401186,0.3655053,0.3457711,0.04796411,0.9120827
43433.00357642,1.392589,1.410269,1.412877,1.401186,0.3678973,0.3475651,0.04796411,0.9108867
43433.00369216,1.392589,1.425477,1.443260,1.401186,0.3667013,0.3469671,0.04617009,0.9096907
43433.00380790,1.392589,1.364646,1.362240,1.391048,0.3613192,0.3433791,0.04617009,0.9096907
43433.00392364,1.392589,1.430546,1.448323,1.401186,0.3672993,0.3469671,0.04617009,0.9090927
43433.00403938,1.392589,1.359576,1.331857,1.375840,0.3649073,0.3457711,0.04617009,0.9096907
43433.00415512,1.392589,1.384923,1.392622,1.391048,0.3631132,0.3433791,0.04617009,0.9102887
43433.00427086,1.392589,1.379853,1.387558,1.391048,0.3613192,0.3427810,0.04377807,0.9084947
43433.00438660,1.392589,1.415338,1.417941,1.396117,0.3655053,0.3469671,0.04318007,0.9102887
43433.00450234,1.392589,1.379853,1.382495,1.385979,0.3631132,0.3433791,0.04377807,0.9102887
43433.00461809,1.392589,1.405200,1.417941,1.380909,0.3684953,0.3481631,0.04318007,0.9090927
43433.00473424,1.392589,1.349438,1.321730,1.380909,0.3631132,0.3439771,0.04138605,0.9078967
43433.00484957,1.392589,1.389992,1.392622,1.391048,0.3631132,0.3433791,0.04318007,0.9067007
43433.00496531,1.392589,1.359576,1.331857,1.375840,0.3637113,0.3439771,0.04557209,0.9090927
43433.00508105,1.392589,1.425477,1.448323,1.406255,0.3655053,0.3463691,0.04617009,0.9102887
43433.00519679,1.392589,1.379853,1.331857,1.380909,0.3655053,0.3451731,0.04617009,0.9102887
43433.00531253,1.392589,1.349438,1.331857,1.380909,0.3631132,0.3439771,0.04557209,0.9096907
43433.00542827,1.392589,1.384923,1.402750,1.391048,0.3625152,0.3433791,0.04437608,0.9102887
43433.00554401,1.392589,1.430546,1.448323,1.411325,0.3643093,0.3433791,0.04497408,0.9090927
43433.00565975,1.387520,1.400130,1.392622,1.406255,0.3619172,0.3427810,0.04736611,0.9090927
43433.00577549,1.397658,1.420407,1.443260,1.411325,0.3649073,0.3457711,0.04676810,0.9096907
43433.00589123,1.392589,1.410269,1.407813,1.401186,0.3661033,0.3469671,0.04676810,0.9102887
43433.00600697,1.387520,1.389992,1.352112,1.375840,0.3661033,0.3463691,0.04377807,0.9096907
43433.00612271,1.387520,1.410269,1.407813,1.396117,0.3672993,0.3475651,0.04497408,0.9072987
43433.00623845,1.392589,1.384923,1.392622,1.396117,0.3649073,0.3421830,0.04856212,0.9072987
43433.00635419,1.397658,1.405200,1.397686,1.396117,0.3667013,0.3475651,0.04856212,0.9072987
43433.00646993,1.397658,1.379853,1.387558,1.385979,0.3619172,0.3427810,0.04617009,0.9078967
43433.00658567,1.397658,1.359576,1.326793,1.375840,0.3661033,0.3451731,0.04557209,0.9078967
43433.00670141,1.392589,1.405200,1.407813,1.380909,0.3678973,0.3481631,0.04557209,0.9072987
43433.00681715,1.392589,1.349438,1.331857,1.380909,0.3625152,0.3433791,0.04497408,0.9072987
43433.00693289,1.392589,1.395061,1.412877,1.401186,0.3631132,0.3445751,0.04557209,0.9055046
43433.00704863,1.392589,1.364646,1.326793,1.375840,0.3637113,0.3433791,0.04617009,0.9049066
43433.00716437,1.392589,1.405200,1.397686,1.391048,0.3678973,0.3469671,0.04377807,0.9067007
43433.00728011,1.387520,1.384923,1.392622,1.391048,0.3625152,0.3433791,0.04138605,0.9067007
43433.00739585,1.392589,1.354507,1.316666,1.375840,0.3637113,0.3439771,0.04497408,0.9067007
43433.00751159,1.392589,1.420407,1.448323,1.401186,0.3637113,0.3445751,0.04437608,0.9078967
43433.00762734,1.392589,1.364646,1.336921,1.370771,0.3637113,0.3439771,0.04676810,0.9072987
43433.00774308,1.392589,1.410269,1.407813,1.401186,0.3655053,0.3457711,0.04916012,0.9096907
43433.00785882,1.392589,1.420407,1.453387,1.406255,0.3637113,0.3445751,0.04437608,0.9084947
43433.00797456,1.392589,1.369715,1.331857,1.375840,0.3649073,0.3457711,0.04736611,0.9078967
43433.00809030,1.392589,1.415338,1.428068,1.396117,0.3672993,0.3481631,0.04856212,0.9072987
43433.00820604,1.392589,1.384923,1.347048,1.375840,0.3655053,0.3457711,0.04676810,0.9067007
43433.00832178,1.387520,1.405200,1.428068,1.406255,0.3631132,0.3433791,0.04557209,0.9072987
43433.00843752,1.387520,1.405200,1.407813,1.401186,0.3678973,0.3475651,0.04736611,0.9067007
43433.00855326,1.392589,1.405200,1.412877,1.401186,0.3678973,0.3469671,0.04617009,0.9072987
43433.00866900,1.392589,1.430546,1.443260,1.396117,0.3672993,0.3469671,0.04557209,0.9072987
