TheTime,CH1,CH2,CH3,CH6,CH7
43192.00012732,0.006088065,0.07098430,0.06798557,0.004907684,0.3529471
43192.00023887,0.001018820,0.07098430,0.07305478,0.004907684,0.3511531
43192.00036273,0.006088065,0.06592056,0.06798557,0.01028974,0.3493591
43192.00047847,0.001018820,0.07098430,0.06798557,0.005505690,0.3481631
43192.00059028,0.006088065,0.07098430,0.07305478,0.004309678,0.3487611
43192.00070602,0.001018820,0.07098430,0.07305478,0.003711672,0.3481631
43192.00082513,0.001018820,0.07098430,0.07305478,0.007299708,0.3535452
43192.00094159,0.006088065,0.06592056,0.06798557,0.005505690,0.3595252
43192.00105335,0.001018820,0.07098430,0.06798557,0.003113667,0.3613192
43192.00116909,0.006088065,0.06592056,0.07305478,0.005505690,0.3595252
43192.00128483,0.001018820,0.06592056,0.06798557,0.005505690,0.3559372
43192.00140056,0.001018820,0.07098430,0.07305478,0.004309678,0.3535452
43192.00151630,0.001018820,0.07098430,0.07305478,0.007299708,0.3577312
43192.00163203,0.001018820,0.07098430,0.07305478,0.006701702,0.3672993
43192.00174777,0.001018820,0.07098430,0.07305478,0.004309678,0.3798574
43192.00186351,0.001018820,0.07098430,0.07305478,0.004907684,0.3900235
43192.00197924,0.001018820,0.07098430,0.07305478,0.004907684,0.3942096
43192.00209498,0.006088065,0.07098430,0.06798557,0.005505690,0.3894255
43192.00221072,0.006088065,0.07098430,0.07305478,0.004907684,0.3834455
43192.00232645,0.001018820,0.07098430,0.07305478,0.004309678,0.3714853
43192.00244219,0.001018820,0.07604805,0.07305478,0.005505690,0.3577312
43192.00256118,0.001018820,0.07098430,0.06798557,0.003711672,0.3493591
43192.00267366,0.006088065,0.07098430,0.07305478,0.004309678,0.3493591
43192.00278940,0.001018820,0.07098430,0.06798557,0.004907684,0.3505551
43192.00290513,0.006088065,0.06592056,0.06798557,0.006701702,0.3517511
43192.00302087,0.001018820,0.07098430,0.06798557,0.004309678,0.3493591
43192.00313661,0.001018820,0.07098430,0.07305478,0.005505690,0.3481631
43192.00325234,0.001018820,0.07098430,0.06798557,0.006701702,0.3415850
43192.00336808,0.001018820,0.07098430,0.06798557,0.004907684,0.3403890
43192.00348382,0.001018820,0.07098430,0.07305478,0.004907684,0.3379970
43192.00359955,0.006088065,0.07604805,0.07305478,0.004907684,0.3362030
43192.00371529,0.001018820,0.07098430,0.07305478,0.004907684,0.3314189
43192.00383103,0.001018820,0.06592056,0.06798557,0.004907684,0.3278309
43192.00394676,0.001018820,0.07098430,0.07305478,0.003711672,0.3284289
43192.00406250,0.001018820,0.07098430,0.06798557,0.004309678,0.3236449
43192.00417824,0.001018820,0.07098430,0.06798557,0.005505690,0.3212528
43192.00429723,0.001018820,0.06592056,0.07305478,0.007299708,0.3206548
43192.00440972,0.001018820,0.07098430,0.07305478,0.006701702,0.3212528
43192.00452924,0.001018820,0.07098430,0.06798557,0.007299708,0.3278309
43192.00464121,0.006088065,0.07098430,0.07305478,0.004907684,0.3356050
43192.00476072,0.001018820,0.07098430,0.06798557,0.003711672,0.3451731
43192.00487269,0.001018820,0.06592056,0.07305478,0.004309678,0.3517511
43192.00499219,0.001018820,0.07604805,0.07305478,0.004309678,0.3553392
43192.00510417,0.001018820,0.07098430,0.06798557,0.004309678,0.3541432
43192.00521991,0.001018820,0.07098430,0.07305478,0.003711672,0.3511531
43192.00533940,0.001018820,0.07098430,0.07305478,0.003711672,0.3493591
43192.00545139,0.006088065,0.07098430,0.07305478,0.003711672,0.3499571
43192.00556713,0.001018820,0.07098430,0.07305478,0.006701702,0.3487611
43192.00568661,0.006088065,0.07098430,0.07305478,0.007299708,0.3481631
43192.00579861,0.001018820,0.07604805,0.07305478,0.004907684,0.3493591
43192.00591808,0.006088065,0.07098430,0.07305478,0.004309678,0.3475651
43192.00603020,0.001018820,0.07098430,0.06798557,0.003711672,0.3451731
43192.00614955,0.001018820,0.07098430,0.06798557,0.004309678,0.3433791
43192.00626547,0.006088065,0.07098430,0.07305478,0.003711672,0.3439771
43192.00637741,0.006088065,0.07098430,0.07305478,0.004309678,0.3415850
43192.00649676,0.006088065,0.07098430,0.07305478,0.003711672,0.3397910
43192.00660888,0.001018820,0.07098430,0.07305478,0.005505690,0.3397910
43192.00672570,0.001018820,0.07098430,0.07305478,0.005505690,0.3415850
43192.00684035,0.006088065,0.07604805,0.07812398,0.003711672,0.3403890
43192.00695971,0.001018820,0.07604805,0.07812398,0.003711672,0.3373990
43192.00707183,0.001018820,0.07098430,0.07812398,0.003711672,0.3373990
43192.00718756,0.001018820,0.07098430,0.07305478,0.003711672,0.3415850
43192.00730330,0.006088065,0.07098430,0.07305478,0.007299708,0.3475651
43192.00741904,0.001018820,0.07098430,0.07305478,0.006701702,0.3559372
43192.00753839,0.001018820,0.07098430,0.07305478,0.004907684,0.3631132
43192.00765051,0.001018820,0.07604805,0.07305478,0.005505690,0.3696913
43192.00776625,0.006088065,0.07098430,0.07812398,0.003711672,0.3720833
43192.00788560,0.01115731,0.06592056,0.07305478,0.003711672,0.3738774
43192.00799772,0.006088065,0.07098430,0.07812398,0.004309678,0.3762694
43192.00811707,0.001018820,0.07098430,0.07812398,0.004907684,0.3774654
43192.00822919,0.001018820,0.07604805,0.07305478,0.004309678,0.3798574
43192.00834855,0.001018820,0.07604805,0.07305478,0.004309678,0.3792594
43192.00846066,0.006088065,0.07604805,0.07305478,0.004907684,0.3756714
43192.00857640,0.006088065,0.07098430,0.07305478,0.004907684,0.3690933
43192.00869214,0.006088065,0.07098430,0.07305478,0.003711672,0.3619172
43192.00881149,0.001018820,0.07098430,0.07305478,0.004309678,0.3517511
43192.00892361,0.006088065,0.07604805,0.07305478,0.003711672,0.3481631
43192.00904296,0.006088065,0.07098430,0.07305478,0.002515661,0.3475651
43192.00915509,0.006088065,0.07098430,0.07812398,0.004309678,0.3517511
43192.00927083,0.001018820,0.07098430,0.07812398,0.006701702,0.3553392
43192.00938658,0.006088065,0.07604805,0.07305478,0.004907684,0.3553392
43192.00950232,0.006088065,0.07098430,0.07305478,0.003711672,0.3517511
43192.00961806,0.001018820,0.06592056,0.06798557,0.005505690,0.3493591
43192.00973380,0.006088065,0.07098430,0.07305478,0.004907684,0.3475651
43192.00984954,0.006088065,0.07098430,0.07812398,0.004309678,0.3511531
43192.00996528,0.006088065,0.07098430,0.07305478,0.004309678,0.3601232
43192.01008102,0.006088065,0.07098430,0.07305478,0.005505690,0.3696913
43192.01019676,0.006088065,0.07098430,0.07812398,0.004907684,0.3780634
43192.01031250,0.006088065,0.07098430,0.07305478,0.004309678,0.3834455
43192.01042824,0.001018820,0.07604805,0.07812398,0.004907684,0.3876315
43192.01054398,0.001018820,0.07604805,0.07812398,0.003711672,0.3942096
43192.01065972,0.006088065,0.07098430,0.08319319,0.004907684,0.3977976
43192.01077558,0.006088065,0.07604805,0.07812398,0.003711672,0.4055717
43192.01089131,0.001018820,0.07604805,0.07812398,0.004309678,0.4139438
43192.01100705,0.001018820,0.07098430,0.06798557,0.01925983,0.4175318
43192.01112278,0.001018820,0.07098430,0.07305478,0.006103696,0.4205218
43192.01123852,0.001018820,0.07098430,0.07305478,0.005505690,0.4175318
43192.01135426,0.006088065,0.06592056,0.07305478,0.003711672,0.4133457
43192.01146999,0.006088065,0.06592056,0.06798557,0.005505690,0.4049737
43192.01158573,0.01115731,0.06592056,0.07305478,0.005505690,0.4019836
43192.01170147,0.006088065,0.07098430,0.07305478,0.004907684,0.3936116
43192.01181720,0.001018820,0.07098430,0.07305478,0.004907684,0.3876315
43192.01193294,0.001018820,0.07098430,0.07812398,0.004309678,0.3840435
43192.01204868,0.001018820,0.07098430,0.07305478,0.004907684,0.3774654
43192.01216441,0.001018820,0.07098430,0.07305478,0.004907684,0.3738774
43192.01228015,0.001018820,0.07098430,0.07305478,0.003113667,0.3678973
43192.01239588,0.006088065,0.07098430,0.07305478,0.004309678,0.3619172
43192.01251162,0.001018820,0.07098430,0.07305478,0.005505690,0.3553392
43192.01262736,0.006088065,0.07098430,0.06798557,0.003711672,0.3535452
43192.01274309,0.001018820,0.07098430,0.07305478,0.005505690,0.3511531
43192.01285883,0.006088065,0.07604805,0.07812398,0.003711672,0.3517511
43192.01297457,0.006088065,0.07098430,0.07305478,0.004309678,0.3511531
43192.01309030,0.001018820,0.07098430,0.07305478,0.003711672,0.3493591
43192.01320604,0.001018820,0.07098430,0.07305478,0.003711672,0.3517511
43192.01332178,0.006088065,0.07098430,0.07305478,0.003711672,0.3577312
43192.01343751,0.001018820,0.07098430,0.07305478,0.004309678,0.3696913
43192.01355325,0.006088065,0.07098430,0.07305478,0.004309678,0.3840435
43192.01366899,0.006088065,0.06592056,0.07305478,0.004907684,0.3930135
43192.01378472,0.006088065,0.06592056,0.07305478,0.003711672,0.3971996
43192.01390046,0.006088065,0.07098430,0.07305478,0.003113667,0.3930135
43192.01401620,0.001018820,0.07604805,0.07305478,0.004907684,0.3834455
43192.01413195,0.001018820,0.07098430,0.06798557,0.006103696,0.3816514
43192.01424769,0.006088065,0.07098430,0.07305478,0.004907684,0.3822494
43192.01436343,0.001018820,0.07098430,0.07305478,0.004907684,0.3834455
43192.01447917,0.001018820,0.07098430,0.07305478,0.004907684,0.3882295
43192.01459491,0.001018820,0.07098430,0.07305478,0.005505690,0.3936116
43192.01471065,0.001018820,0.07098430,0.07305478,0.003711672,0.3954056
43192.01482639,0.006088065,0.07098430,0.07305478,0.004309678,0.3977976
43192.01494213,0.006088065,0.07604805,0.07305478,0.004907684,0.3995916
43192.01505787,0.001018820,0.07098430,0.07812398,0.005505690,0.3995916
43192.01517361,0.001018820,0.07098430,0.07812398,0.004907684,0.4001896
43192.01528935,0.001018820,0.07098430,0.07305478,0.003113667,0.3995916
43192.01540509,0.006088065,0.07098430,0.07305478,0.003113667,0.3971996
43192.01552083,0.006088065,0.07098430,0.07305478,0.006103696,0.3948076
43192.01563669,0.001018820,0.07098430,0.06798557,0.005505690,0.3918175
43192.01575242,0.006088065,0.07098430,0.07812398,0.003113667,0.3834455
43192.01586816,0.006088065,0.07098430,0.06798557,0.004907684,0.3732793
43192.01598390,0.006088065,0.07098430,0.07812398,0.004309678,0.3613192
43192.01609963,0.006088065,0.07604805,0.07812398,0.003711672,0.3493591
43192.01621537,0.006088065,0.07098430,0.07305478,0.004309678,0.3457711
43192.01633110,0.006088065,0.07098430,0.07305478,0.007897714,0.3493591
43192.01644684,0.006088065,0.07098430,0.06798557,0.003113667,0.3559372
43192.01656258,0.001018820,0.07604805,0.07305478,0.005505690,0.3601232
43192.01667831,0.006088065,0.07098430,0.07305478,0.004907684,0.3619172
43192.01679405,0.001018820,0.07098430,0.07305478,0.005505690,0.3577312
43192.01690979,0.001018820,0.07604805,0.07812398,0.006701702,0.3535452
43192.01702552,0.006088065,0.07098430,0.07305478,0.004309678,0.3553392
43192.01714126,0.006088065,0.07098430,0.07305478,0.004907684,0.3637113
43192.01725700,0.006088065,0.07604805,0.07812398,0.005505690,0.3720833
43192.01737273,0.006088065,0.07098430,0.07305478,0.004309678,0.3816514
43192.01748847,0.006088065,0.07604805,0.07812398,0.004309678,0.3858375
43192.01760420,0.006088065,0.07098430,0.07305478,0.004309678,0.3852395
43192.01771994,0.001018820,0.06592056,0.07305478,0.004309678,0.3816514
43192.01783568,0.006088065,0.07098430,0.07305478,0.004309678,0.3792594
43192.01795141,0.006088065,0.07098430,0.07305478,0.003711672,0.3798574
43192.01806715,0.006088065,0.07604805,0.07305478,0.005505690,0.3816514
43192.01818289,0.006088065,0.07098430,0.07305478,0.004309678,0.3870335
