TheTime,CH1,CH2,CH3,CH6,CH7
42905.46042127,0.01622655,9.185914e-05,0.01222433,0.02045584,0.2560702
42905.46053247,0.01622655,-0.004971887,0.01222433,0.02224986,0.003711672
42905.46064820,0.01622655,9.185914e-05,0.01222433,0.01866182,0.005505690
42905.46076394,0.01622655,9.185914e-05,0.01222433,0.02105385,1.954407
42905.46087968,0.9489676,0.9470124,0.9449578,0.01866182,0.002515661
42905.46099542,0.4724586,0.4760840,0.4684527,0.02284786,0.8606542
42905.46111115,0.4724586,0.4760840,0.4684527,0.01806382,1.882048
42905.46122689,0.4673893,0.4710202,0.4684527,0.02224986,1.459258
42905.46134263,0.4623201,0.4608928,0.4633835,0.02045584,1.522647
42905.46145837,0.4572508,0.4608928,0.4532451,0.02224986,1.706833
42905.46157410,0.4572508,0.4558290,0.4431066,0.01985783,0.6968006
42905.46168984,0.4471123,0.4507653,0.4431066,0.02224986,0.002515661
42905.46180558,0.4471123,0.4457015,0.4431066,0.01866182,0.4079637
42905.46192132,0.4420431,0.4406378,0.4380374,0.02165185,0.004309678
42905.46203706,0.4420431,0.4406378,0.4329682,0.01746581,1.304375
42905.46215279,0.4319046,0.4355740,0.4329682,0.01925983,0.002515661
42905.46226853,0.4420431,0.4355740,0.4278990,0.01746581,1.632082
42905.46238427,0.4369739,0.4406378,0.4329682,0.02224986,1.848560
42905.46250009,0.4319046,0.4305103,0.4278990,0.02224986,0.002515661
42905.46261583,0.4319046,0.4355740,0.4278990,0.02763191,1.022116
42905.46273157,0.4369739,0.4355740,0.4278990,0.02284786,1.652414
42905.46284730,0.4319046,0.4305103,0.4278990,0.02464188,0.002515661
42905.46296304,0.4319046,0.4355740,0.4228298,0.02284786,0.2494921
42905.46307878,0.4319046,0.4355740,0.4278990,0.02703390,0.06650230
42905.46319452,0.4369739,0.4355740,0.4329682,0.02404387,1.831218
42905.46331025,0.4319046,0.4355740,0.4278990,0.02822992,1.251152
42905.46342599,0.4369739,0.4355740,0.4278990,0.02284786,1.812680
42905.46354173,0.4319046,0.4355740,0.4278990,0.02882792,0.3547412
42905.46365747,0.4369739,0.4355740,0.4278990,0.02344587,1.808494
42905.46377320,0.4319046,0.4355740,0.4228298,0.02583789,1.910155
42905.46388894,0.4319046,0.4355740,0.4278990,0.02284786,1.331285
42905.46400468,0.4319046,0.4305103,0.4278990,0.02703390,1.724773
42905.46412042,0.4319046,0.4355740,0.4278990,0.02344587,1.831218
42905.46423615,0.4319046,0.4355740,0.4278990,0.02882792,1.810288
42905.46435189,0.4319046,0.4305103,0.4228298,0.02404387,1.850952
42905.46446763,0.4319046,0.4305103,0.4278990,0.02882792,0.002515661
42905.46458337,0.4319046,0.4355740,0.4329682,0.02882792,1.859324
42905.46469910,0.4319046,0.4355740,0.4228298,0.03062194,0.002515661
42905.46481484,0.4319046,0.4355740,0.4228298,0.03121995,0.003711672
42905.46493058,0.4319046,0.4305103,0.4278990,0.03600399,1.806700
42905.46504632,0.4319046,0.4305103,0.4228298,0.03241596,0.002515661
42905.46516206,0.4319046,0.4355740,0.4278990,0.03660200,1.636268
42905.46527779,0.4268354,0.4305103,0.4278990,0.03361197,0.002515661
42905.46539353,0.4319046,0.4355740,0.4278990,0.03540599,1.830022
42905.46550927,0.4319046,0.4305103,0.4228298,0.03121995,0.002515661
42905.46562501,0.4268354,0.4305103,0.4228298,0.03301396,1.505305
42905.46574074,0.4268354,0.4305103,0.4278990,0.03420998,1.814474
42905.46585648,0.4268354,0.4254465,0.4228298,0.03720001,0.002515661
