TheTime,CH1,CH2,CH3,CH6,CH7
42820.00013968,0.001018820,0.01528310,0.01222433,0.06171825,0.1777314
42820.00025524,0.001018820,0.01528310,0.01222433,0.06351227,0.1771334
42820.00037098,-0.004050424,0.01528310,0.01222433,0.06351227,0.1759374
42820.00048636,-0.004050424,0.01528310,0.01729354,0.06470828,0.1759374
42820.00060191,0.006088065,0.01528310,0.01729354,0.06291426,0.1741434
42820.00071820,0.001018820,0.01528310,0.01729354,0.06351227,0.1723494
42820.00083357,0.001018820,0.02034684,0.01729354,0.06411027,0.1717513
42820.00094913,-0.004050424,0.02034684,0.01729354,0.06351227,0.1735454
42820.00106542,-0.004050424,0.02034684,0.01729354,0.06231626,0.1723494
42820.00118079,-0.004050424,0.02034684,0.01729354,0.06171825,0.1717513
42820.00129635,0.001018820,0.01528310,0.01729354,0.06112024,0.1717513
42820.00141263,0.001018820,0.01528310,0.01729354,0.05932623,0.1741434
42820.00152801,0.001018820,0.01528310,0.01222433,0.06052224,0.1771334
42820.00164357,-0.004050424,0.02034684,0.01222433,0.05932623,0.1747414
42820.00175949,-0.004050424,0.02034684,0.01729354,0.05992423,0.1759374
42820.00187577,-0.004050424,0.02034684,0.01729354,0.05992423,0.1759374
42820.00199133,-0.004050424,0.02034684,0.01729354,0.06052224,0.1759374
42820.00210707,-0.004050424,0.02034684,0.01729354,0.06112024,0.1753394
42820.00222245,0.001018820,0.01528310,0.02236274,0.06291426,0.1753394
42820.00233801,0.001018820,0.02034684,0.01729354,0.06291426,0.1735454
42820.00245393,-0.004050424,0.02034684,0.01729354,0.06411027,0.1711533
42820.00257021,-0.004050424,0.02541059,0.01729354,0.06351227,0.1717513
42820.00268577,0.001018820,0.01528310,0.01729354,0.06052224,0.1717513
42820.00280169,0.001018820,0.02034684,0.01729354,0.06351227,0.1741434
42820.00291689,0.001018820,0.02034684,0.01729354,0.06470828,0.1717513
42820.00303245,-0.004050424,0.02034684,0.01729354,0.06411027,0.1723494
42820.00314873,0.001018820,0.02034684,0.01729354,0.06112024,0.1723494
42820.00326411,-0.004050424,0.02034684,0.01729354,0.06171825,0.1711533
42820.00337967,0.001018820,0.02034684,0.01729354,0.06171825,0.1705553
42820.00349541,-0.004050424,0.02034684,0.01729354,0.06470828,0.1711533
42820.00361187,-0.004050424,0.02541059,0.01729354,0.06530629,0.1717513
42820.00372688,-0.004050424,0.02034684,0.01729354,0.06411027,0.1699573
42820.00384317,-0.004050424,0.02541059,0.01729354,0.06530629,0.1693593
42820.00395854,0.001018820,0.02034684,0.01222433,0.06351227,0.1693593
42820.00407410,-0.004050424,0.01528310,0.01222433,0.06530629,0.1681633
42820.00418984,0.001018820,0.01528310,0.01222433,0.06590429,0.1681633
42820.00430630,0.001018820,0.01528310,0.01729354,0.06411027,0.1669673
42820.00442186,-0.004050424,0.01528310,0.01222433,0.06052224,0.1663693
42820.00453760,-0.004050424,0.02034684,0.01729354,0.06171825,0.1687613
42820.00465298,0.001018820,0.01528310,0.01729354,0.06112024,0.1717513
42820.00476854,0.001018820,0.01528310,0.01729354,0.06052224,0.1723494
42820.00488482,0.006088065,0.01528310,0.01222433,0.06112024,0.1723494
42820.00500074,0.001018820,0.01528310,0.01222433,0.06351227,0.1717513
42820.00511630,-0.004050424,0.01528310,0.01729354,0.06470828,0.1723494
42820.00523168,-0.004050424,0.01528310,0.01222433,0.06291426,0.1723494
42820.00534724,-0.004050424,0.01528310,0.01729354,0.06231626,0.1729474
42820.00546370,0.001018820,0.01528310,0.01222433,0.06411027,0.1723494
42820.00557944,-0.004050424,0.01528310,0.01729354,0.06351227,0.1717513
42820.00569464,-0.004050424,0.02034684,0.01222433,0.06351227,0.1723494
42820.00581020,-0.004050424,0.02034684,0.01222433,0.06231626,0.1711533
42820.00592612,-0.004050424,0.02034684,0.01729354,0.06231626,0.1723494
42820.00604167,0.001018820,0.02034684,0.01222433,0.06112024,0.1717513
42820.00615796,0.001018820,0.01528310,0.01222433,0.06171825,0.1747414
42820.00627333,-0.004050424,0.01528310,0.01222433,0.06231626,0.1723494
42820.00638889,0.001018820,0.01528310,0.01729354,0.06171825,0.1753394
42820.00650463,0.001018820,0.02034684,0.01729354,0.06052224,0.1747414
42820.00662110,-0.004050424,0.02034684,0.01729354,0.06112024,0.1735454
42820.00673629,0.001018820,0.02034684,0.02236274,0.06052224,0.1705553
42820.00685185,0.006088065,0.01528310,0.01729354,0.05932623,0.1747414
42820.00696759,0.006088065,0.01528310,0.01729354,0.06052224,0.1735454
42820.00708387,0.001018820,0.02034684,0.01729354,0.06112024,0.1747414
42820.00719961,0.001018820,0.02034684,0.01729354,0.06470828,0.1723494
42820.00731499,-0.004050424,0.02541059,0.01729354,0.06530629,0.1711533
42820.00743145,0.001018820,0.02034684,0.01729354,0.06112024,0.1717513
42820.00754683,0.001018820,0.02034684,0.01729354,0.06052224,0.1723494
42820.00766204,0.001018820,0.01528310,0.01222433,0.05992423,0.1717513
42820.00777831,-0.004050424,0.01528310,0.01222433,0.05932623,0.1741434
42820.00789387,-0.004050424,0.01528310,0.01222433,0.06231626,0.1741434
42820.00800961,-0.004050424,0.02034684,0.01729354,0.06470828,0.1711533
42820.00812535,0.001018820,0.02034684,0.01729354,0.06231626,0.1693593
42820.00824163,-0.004050424,0.01528310,0.01729354,0.06052224,0.1711533
42820.00835719,0.001018820,0.01528310,0.01222433,0.06052224,0.1693593
42820.00847293,0.001018820,0.02034684,0.01729354,0.05932623,0.1717513
42820.00858867,-0.004050424,0.02034684,0.02236274,0.05992423,0.1723494
42820.00870441,0.001018820,0.02541059,0.01729354,0.06171825,0.1705553
42820.00882033,0.001018820,0.02034684,0.01729354,0.06231626,0.1711533
