TheTime,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
42436.00020968,0.01198330,0.01798120,0.02877743,0.3388690,0.001187071,0.001187071,0.08155898,0.1649298
42436.00032542,0.01138351,0.01978057,0.03057680,0.3406684,0.001187071,0.001786862,0.08155898,0.1649298
42436.00044116,0.01078372,0.02038036,0.03117659,0.3394688,0.001187071,0.001187071,0.07975961,0.1649298
42436.00055690,0.01018393,0.02157994,0.03057680,0.3382693,0.001187071,0.001187071,0.07975961,0.1643301
42436.00067264,0.008384556,0.02277952,0.03057680,0.3382693,0.001187071,0.001187071,0.08035940,0.1643301
42436.00078766,0.009584136,0.01978057,0.02937722,0.3418680,0.001187071,0.001786862,0.07856003,0.1655296
42436.00090376,0.01138351,0.01858099,0.02997701,0.3406684,0.001187071,0.001187071,0.07736045,0.1667292
42436.00101854,0.01078372,0.01918078,0.02997701,0.3394688,0.001187071,0.001187071,0.07736045,0.1661294
42436.00113428,0.009584136,0.02038036,0.02997701,0.3376695,0.001187071,0.001187071,0.07616087,0.1685286
42436.00125134,0.01078372,0.01978057,0.02997701,0.3400686,0.001187071,0.001187071,0.07616087,0.1685286
42436.00136708,0.01078372,0.01798120,0.02937722,0.3412682,0.001187071,0.001786862,0.07556108,0.1685286
42436.00148282,0.01138351,0.01798120,0.02937722,0.3412682,0.001187071,0.001187071,0.07436150,0.1685286
42436.00159784,0.01198330,0.01978057,0.03057680,0.3400686,0.001187071,0.001187071,0.07496129,0.1679288
42436.00171394,0.01078372,0.02098015,0.03057680,0.3394688,0.001187071,0.001187071,0.07556108,0.1685286
42436.00182968,0.01018393,0.02217973,0.03117659,0.3382693,0.001187071,0.001187071,0.07316191,0.1667292
42436.00194446,0.01258309,0.01978057,0.03177638,0.3394688,0.001187071,0.001786862,0.07196233,0.1667292
42436.00206020,0.01258309,0.01678162,0.03057680,0.3400686,0.001187071,0.001187071,0.07136254,0.1661294
42436.00217654,0.01198330,0.01858099,0.02997701,0.3382693,0.001187071,0.001187071,0.07076275,0.1667292
42436.00229228,0.01018393,0.02157994,0.03057680,0.3406684,0.001786862,0.001187071,0.07076275,0.1661294
42436.00240838,0.009584136,0.02277952,0.03237617,0.3400686,0.001786862,0.001187071,0.07196233,0.1643301
42436.00252412,0.01078372,0.02157994,0.03177638,0.3400686,0.001187071,0.001187071,0.07256212,0.1631305
42436.00263889,0.01018393,0.02217973,0.03177638,0.3406684,0.001187071,0.001187071,0.07496129,0.1625307
42436.00275463,0.01018393,0.02277952,0.03177638,0.3382693,0.001187071,0.001187071,0.07496129,0.1625307
42436.00287170,0.01078372,0.02157994,0.03117659,0.3394688,0.001187071,0.001187071,0.07676066,0.1631305
42436.00298744,0.009584136,0.02098015,0.03057680,0.3388690,0.001187071,0.001187071,0.07676066,0.1625307
42436.00310318,0.01138351,0.01858099,0.02937722,0.3382693,0.001187071,0.001187071,0.07556108,0.1631305
42436.00321820,0.01258309,0.01798120,0.03057680,0.3406684,0.001187071,0.001187071,0.07796024,0.1625307
42436.00333430,0.01138351,0.02038036,0.03177638,0.3412682,0.001187071,0.001187071,0.07796024,0.1601315
42436.00345004,0.01018393,0.01978057,0.02997701,0.3370697,0.001187071,0.001187071,0.07676066,0.1607313
42436.00356482,0.01018393,0.01918078,0.02937722,0.3376695,0.001187071,0.001187071,0.07796024,0.1607313
42436.00368116,0.01078372,0.02038036,0.02937722,0.3400686,0.001187071,0.001187071,0.07856003,0.1607313
42436.00379762,0.01018393,0.01978057,0.02997701,0.3406684,0.001187071,0.001187071,0.07676066,0.1607313
42436.00391336,0.01018393,0.01978057,0.02997701,0.3376695,0.001187071,0.001187071,0.07736045,0.1601315
42436.00402838,0.009584136,0.02038036,0.02997701,0.3382693,0.001187071,0.001187071,0.07796024,0.1601315
42436.00414484,0.009584136,0.02217973,0.03057680,0.3412682,0.001187071,0.001187071,0.07736045,0.1625307
42436.00425926,0.01018393,0.02038036,0.03117659,0.3406684,0.001786862,0.001187071,0.07436150,0.1631305
42436.00437560,0.01138351,0.02098015,0.03237617,0.3406684,0.001187071,0.001187071,0.07136254,0.1631305
