    0,2018/11/27,00:00:00,34,32,0,0
    1,2018/11/27,00:00:11,34,32,0,0
    2,2018/11/27,00:00:21,34,32.3,0,0
    3,2018/11/27,00:00:31,34.6,33,0,0
    4,2018/11/27,00:00:41,35,32.7,0,0
    5,2018/11/27,00:00:51,35.6,32.5,0,0
    6,2018/11/27,00:01:01,36,32,0,0
    7,2018/11/27,00:01:11,35.9,32.5,0,0
    8,2018/11/27,00:01:21,35,32.8,0,0
    9,2018/11/27,00:01:31,35,32.1,0,0
   10,2018/11/27,00:01:41,35,32,0,0
   11,2018/11/27,00:01:51,34.9,32,0,0
   12,2018/11/27,00:02:01,34,32,0,0
   13,2018/11/27,00:02:11,34,32,0,0
   14,2018/11/27,00:02:21,34,32.3,0,0
   15,2018/11/27,00:02:31,34.6,33,0,0
   16,2018/11/27,00:02:41,35,33.5,0,0
   17,2018/11/27,00:02:51,35.6,33.8,0,0
   18,2018/11/27,00:03:01,36.1,33.1,0,0
   19,2018/11/27,00:03:11,37.1,33.3,0,0
   20,2018/11/27,00:03:21,37.5,34,0,0
   21,2018/11/27,00:03:31,37.8,34,0,0
   22,2018/11/27,00:03:41,37.6,34,0,0
   23,2018/11/27,00:03:51,38.1,34,0,0
   24,2018/11/27,00:04:01,39,34,0,0
   25,2018/11/27,00:04:11,39,34.8,0,0
   26,2018/11/27,00:04:22,39.6,35,0,0
   27,2018/11/27,00:04:32,40.1,35,0,0
   28,2018/11/27,00:04:42,40.3,35,0,0
   29,2018/11/27,00:04:52,40.5,35,0,0
   30,2018/11/27,00:05:02,40,34.6,0,0
   31,2018/11/27,00:05:12,40,34,0,0
   32,2018/11/27,00:05:22,39.3,34,0,0
   33,2018/11/27,00:05:32,38.3,34,0,0
   34,2018/11/27,00:05:42,38.5,33.6,0,0
   35,2018/11/27,00:05:52,38,33.9,0,0
   36,2018/11/27,00:06:02,38,34,0,0
   37,2018/11/27,00:06:12,38,34.5,0,0
   38,2018/11/27,00:06:22,37.3,34,0,0
   39,2018/11/27,00:06:32,37,34,0,0
   40,2018/11/27,00:06:42,37.5,34,0,0
   41,2018/11/27,00:06:52,36.8,34,0,0
   42,2018/11/27,00:07:02,36,34,0,0
   43,2018/11/27,00:07:12,36,34.4,0,0
   44,2018/11/27,00:07:22,35.3,35,0,0
   45,2018/11/27,00:07:32,35.5,35,0,0
   46,2018/11/27,00:07:42,35,35,0,0
   47,2018/11/27,00:07:52,35.2,35.5,0,0
   48,2018/11/27,00:08:02,36,35.9,0,0
   49,2018/11/27,00:08:12,35.3,36,0,0
   50,2018/11/27,00:08:22,35,36,0,0
   51,2018/11/27,00:08:33,35.7,36,0,0
   52,2018/11/27,00:08:43,36.5,35.1,0,0
   53,2018/11/27,00:08:53,36,35,0,0
   54,2018/11/27,00:09:03,35.8,35,0,0
   55,2018/11/27,00:09:13,35,33.7,0,0
   56,2018/11/27,00:09:23,35,33.5,0,0
   57,2018/11/27,00:09:33,35.2,33,0,0
   58,2018/11/27,00:09:43,36,33,0,0
   59,2018/11/27,00:09:53,36.7,33.5,0,0
   60,2018/11/27,00:10:03,37.2,33.9,0,0
   61,2018/11/27,00:10:13,38,34.4,0,0
   62,2018/11/27,00:10:23,38,34,0,0
   63,2018/11/27,00:10:33,38,34,0,0
   64,2018/11/27,00:10:43,38,33,0,0
   65,2018/11/27,00:10:53,38,33,0,0
   66,2018/11/27,00:11:03,38,33,0,0
   67,2018/11/27,00:11:13,37.5,33.4,0,0
   68,2018/11/27,00:11:23,38,34,0,0
   69,2018/11/27,00:11:33,37.8,33.5,0,0
   70,2018/11/27,00:11:43,37,34,0,0
   71,2018/11/27,00:11:53,37,34,0,0
   72,2018/11/27,00:12:03,36.7,34,0,0
